"Provider Number",Network,"Facility Name","Address Line 1",City,State,Zip,County,"Profit or Non-Profit","Chain Organization","# of Dialysis Stations","Offers in-center hemodialysis","Certification or Recertification Date",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
212672,5,"DAVITA CHARLES COUNTY DIALYSIS","4475 REGENCY PLACE","WHITE PLAINS",MD,20695,CHARLES,Profit,DAVITA,17,TRUE,7/23/12,38.592252,-76.941704,1,rooftop,4475,"Regency Pl",,,"White Plains",MD,"Charles County",20695,US,Statewide
212501,5,"BMA - CAMP SPRINGS","3700 - A  ST BARNABAS RD",SUITLAND,MD,20746,"PRINCE GEORGES",Profit,"FRESENIUS MEDICAL CARE",24,TRUE,9/1/77,38.83935,-76.940771,1,rooftop,3700,"St Barnabas Rd",,,Suitland,MD,"Prince George's County",20746,US,"Prince Georges"
212704,5,"FMC - BRIGHTSEAT","835 BRIGHTSEAT ROAD",HYATTSVILLE,MD,20785,"PRINCE GEORGES",Profit,"FRESENIUS MEDICAL CARE",13,TRUE,4/1/16,38.901953,-76.852739,1,rooftop,835,"Brightseat Rd",,,Hyattsville,MD,"Prince George's County",20785,US,"Prince Georges"
212512,5,"DAVITA EASTON DIALYSIS CENTER","500 CADMUS LN, SUITE 201",EASTON,MD,21601,TALBOT,Profit,DAVITA,15,TRUE,1/1/81,38.764828,-76.068967,1,range_interpolation,500,"Cadmus Ln",Ste,201,Easton,MD,"Talbot County",21601,US,"TIGER/Line® dataset from the US Census Bureau"
212730,5,"FRESENIUS KIDNEY CARE GERMANTOWN","19851 OBERSAVTION DRIVE",GERMANTOWN,MD,20876,MONTGOMERY,Profit,"FRESENIUS MEDICAL CARE",15,TRUE,6/1/18,39.210218,-77.239729,0.33,place,,,,,Germantown,MD,"Montgomery County",20876,US,"TIGER/Line® dataset from the US Census Bureau"
212549,5,"IDF - CALVERT CENTER","225 W DARES BEACH RD","PRINCE FREDERICK",MD,20678,CALVERT,Non-Profit,"INDEPENDENT DIALYSIS FOUNDATION (IDF)",15,TRUE,10/1/92,38.545429,-76.593672,1,rooftop,225,"W Dares Beach Rd",,,"Prince Frederick",MD,"Calvert County",20678,US,Statewide
212627,5,"FMC - ROBINWOOD","11110 MEDICAL CAMPUS RD   STE 149",HAGERSTOWN,MD,21742,WASHINGTON,Profit,"FRESENIUS MEDICAL CARE",13,TRUE,10/28/02,39.621012,-77.683072,1,rooftop,11110,"Medical Campus Rd",Ste,149,Hagerstown,MD,"Washington County",21742,US,Statewide
212618,5,"FRESENIUS KIDNEY CARE - CROMWELL","8710 EMGE RD",BALTIMORE,MD,21234,BALTIMORE,Profit,"FRESENIUS MEDICAL CARE",6,TRUE,9/1/01,39.399774,-76.560843,1,rooftop,8710,"Emge Rd",,,Parkville,MD,"Baltimore County",21234,US,Baltimore
212516,5,"DAVITA HOWARD COUNTY DIALYSIS","5999 HARPERS FARM RD",COLUMBIA,MD,21044,HOWARD,Profit,DAVITA,24,TRUE,10/1/82,39.216833,-76.879395,1,rooftop,5999,"Harpers Farm Rd",,,Columbia,MD,"Howard County",21044,US,Howard
212712,5,"FRESENIUS KIDNEY CARE MERRITT BLVD OF DUNDALK","1732 MERRITT BLVD",DUNDALK,MD,21222,BALTIMORE,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,8/23/16,39.269829,-76.505955,1,rooftop,1732,"Merritt Blvd",,,Dundalk,MD,"Baltimore County",21222,US,Baltimore
213503,5,"HOLY CROSS DIALYSIS CENTER - WOODMORE","11721 WOODMORE RD   STE 190",MITCHELLVILLE,MD,20721,"PRINCE GEORGES",Non-Profit,INDEPENDENT,15,TRUE,5/14/03,38.920489,-76.801951,1,rooftop,11721,"Woodmore Rd",Ste,190,Bowie,MD,"Prince George's County",20721,US,"Prince Georges"
212603,5,"FMC OF PORTER DIALYSIS - ROSEDALE","5235 KING AVE",ROSEDALE,MD,21237,BALTIMORE,Profit,"FRESENIUS MEDICAL CARE",18,TRUE,4/30/99,39.356862,-76.470812,1,rooftop,5235,"King Ave",,,Rosedale,MD,"Baltimore County",21237,US,Baltimore
212649,5,"ADVANCED DIALYSIS CENTER - EASTON","610 E DUTCHMANS LN",EASTON,MD,21601,TALBOT,Profit,INDEPENDENT,9,TRUE,7/25/06,38.758994,-76.063861,1,rooftop,610,"Dutchmans Ln",,,Easton,MD,"Talbot County",21601,US,Statewide
212676,5,"FRESENIUS MEDICAL CARE ESSEX DUNDALK, LLC","110 STEMMERS RUN RD",ESSEX,MD,21221,BALTIMORE,Profit,"FRESENIUS MEDICAL CARE",19,TRUE,3/27/13,39.320782,-76.455068,0.9,range_interpolation,110,"Stemmers Run Rd",,,Essex,MD,"Baltimore County",21221,US,"TIGER/Line® dataset from the US Census Bureau"
212657,5,"DAVITA DISTRICT HEIGHTS DIALYSIS","5701 SILVER HILLL RD","DISTRICT HEIGHTS",MD,20747,"PRINCE GEORGES",Profit,DAVITA,18,TRUE,2/25/09,38.853173,-76.909102,1,rooftop,5701,"Silver Hill Rd",,,"District Heights",MD,"Prince George's County",20747,US,"Prince Georges"
212660,5,"FMC - SILVER SPRING","12120 PLUM ORCHARD RD   STE 140","SILVER SPRING",MD,20904,MONTGOMERY,Profit,"FRESENIUS MEDICAL CARE",12,TRUE,7/15/09,39.052181,-76.958363,1,range_interpolation,12120,"Plum Orch",Ste,140,"Silver Spring",MD,"Montgomery County",20904,US,"TIGER/Line® dataset from the US Census Bureau"
212694,5,"NXSTAGE KIDNEY CARE GREENBELT","10003 DEREKWOOD LN SUITE 100 AND 145",LANHAM,MD,20706,"PRINCE GEORGES",Profit,INDEPENDENT,18,TRUE,4/20/15,38.948044,-76.83235,1,rooftop,10003,"Derekwood Ln",Ste,100,Lanham,MD,"Prince George's County",20706,US,"Prince Georges"
212556,5,"DAVITA HARBOR PARK DIALYSIS","111 CHERRY HILL RD",BROOKLYN,MD,21225,"BALTIMORE CITY",Profit,DAVITA,21,TRUE,2/1/95,39.251348,-76.617286,1,rooftop,111,"Cherry Hill Rd",,,Brooklyn,MD,"Baltimore city",21225,US,"City of Baltimore"
212692,5,"FMC - CROSS KEYS","2 HAMILL RD",BALTIMORE,MD,21210,"BALTIMORE CITY",Profit,"FRESENIUS MEDICAL CARE",17,TRUE,2/25/15,39.351627,-76.645532,1,rooftop,2,"Hamill Rd",,,Baltimore,MD,"Baltimore city",21210,US,"City of Baltimore"
212568,5,"FMC OF PORTER DIALYSIS - WHITE MARSH","8013 CORPORATE DR STE K",NOTTINGHAM,MD,21236,BALTIMORE,Profit,"FRESENIUS MEDICAL CARE",19,TRUE,2/12/97,39.366207,-76.470194,1,rooftop,8013,"Corporate Dr",Ste,K,Nottingham,MD,"Baltimore County",21236,US,Baltimore
212528,5,"DAVITA CANTONSVILLE DIALYSIS","1581 SULPHUR SPRING RD",BALTIMORE,MD,21227,BALTIMORE,Profit,DAVITA,30,TRUE,6/1/87,39.248165,-76.686624,1,rooftop,1581,"Sulphur Spring Rd",,,Halethorpe,MD,"Baltimore County",21227,US,Baltimore
212621,5,"DAVITA RIVERTOWNE DIALYSIS","6169 LIVINGSTON ROAD","OXON HILL",MD,20745,"PRINCE GEORGES",Profit,DAVITA,21,TRUE,2/27/02,38.804608,-76.992303,1,rooftop,6169,"Livingston Rd",,,"Oxon Hill",MD,"Prince George's County",20745,US,"Prince Georges"
212593,5,"DAVITA SILVER SPRING DIALYSIS","8040 GEORGIA AVE","SILVER SPRING",MD,20910,MONTGOMERY,Profit,DAVITA,27,TRUE,1/15/99,38.988767,-77.027062,1,rooftop,8040,"Georgia Ave",,,"Silver Spring",MD,"Montgomery County",20910,US,Montgomery
212640,5,"DAVITA RENAL CARE OF SEAT PLEASANT","6274 CENTRAL AVE","SEAT PLEASANT",MD,20743,"PRINCE GEORGES",Profit,DAVITA,21,TRUE,4/7/04,38.887362,-76.89962,1,rooftop,6274,"Central Ave",,,"Capitol Heights",MD,"Prince George's County",20743,US,"Prince Georges"
212309,5,"BON SECOURS HOSPITAL","RENAL DIALYSIS UNIT",BALTIMORE,MD,21223,"BALTIMORE CITY",Non-Profit,"BON SECOURS",35,TRUE,5/1/80,39.279506,-76.65014,1,place,,,,,Baltimore,MD,"Baltimore city",21223,US,"TIGER/Line® dataset from the US Census Bureau"
212738,5,"DAVITA TIMONIUM DIALYSIS","1840 YORK RD",LUTHERVILLE,MD,21093,BALTIMORE,Profit,DAVITA,22,TRUE,11/4/19,39.432844,-76.623856,1,rooftop,1840,"York Rd",,,"Lutherville Timonium",MD,"Baltimore County",21093,US,Baltimore
212664,5,"FMC - NORTH SALISBURY","1314 BELMONT AVE    STE 304",SALISBURY,MD,21804,WICOMICO,Profit,"FRESENIUS MEDICAL CARE",24,TRUE,3/19/10,38.369903,-75.572392,1,range_interpolation,1314,"Belmont Ave",Ste,304,Salisbury,MD,"Wicomico County",21804,US,"TIGER/Line® dataset from the US Census Bureau"
212728,5,"DAVITA GAITHERSBURG DIALYSIS","202 PERRY PARKWAY",GAITHERSBURG,MD,20877,MONTGOMERY,Profit,DAVITA,16,TRUE,2/2/18,39.142689,-77.210373,1,rooftop,202,"Perry Pkwy",,,Gaithersburg,MD,"Montgomery County",20877,US,Montgomery
212563,5,"DAVITA SOUTHERN MARYLAND DIALYSIS","9211 STUART LN",CLINTON,MD,20735,"PRINCE GEORGES",Profit,DAVITA,13,TRUE,2/5/96,38.762752,-76.884466,1,rooftop,9211,"Stuart Ln",,,Clinton,MD,"Prince George's County",20735,US,"Prince Georges"
212721,5,"DAVITA UNION MEMORIAL DIALYSIS","201 EAST UNIVERSITY PARKWAY",BALTIMORE,MD,21218,"BALTIMORE CITY",Profit,DAVITA,27,TRUE,6/30/17,39.329296,-76.614321,1,rooftop,201,"E University Pkwy",,,Baltimore,MD,"Baltimore city",21218,US,"City of Baltimore"
212669,5,"FMC - PRINCESS ANNE","12185 ELM ST","PRINCESS ANNE",MD,21853,SOMERSET,Profit,"FRESENIUS MEDICAL CARE",30,TRUE,1/25/12,38.216317,-75.697829,1,rooftop,12185,"Elm St",,,"Princess Anne",MD,"Somerset County",21853,US,Statewide
212733,5,"DAVITA GOLDEN MILE DIALYSIS","1306 W. PATRICK STREET",FREDERICK,MD,21703,FREDERICK,Profit,DAVITA,13,TRUE,12/14/18,39.41725,-77.454886,1,rooftop,1306,"W Patrick St",,,Frederick,MD,"Frederick County",21703,US,"Frederick County"
212720,5,"DAVITA MT. RAINIER DIALYSIS","2303 VARNUM STREET","MOUNT RAINIER",MD,20712,"PRINCE GEORGES",Profit,DAVITA,16,TRUE,7/31/17,38.944021,-76.972552,1,rooftop,2303,"Varnum St",,,"Mount Rainier",MD,"Prince George's County",20712,US,"Prince Georges"
212586,5,"CADIA DIALYSIS SPRINGBROOK","12325 NEW HAMPSHIRE AVENUE","SILVER SPRING",MD,20904,MONTGOMERY,Non-Profit,INDEPENDENT,11,TRUE,4/8/98,39.059298,-76.996859,1,rooftop,12325,"New Hampshire Ave",,,"Silver Spring",MD,"Montgomery County",20904,US,Montgomery
212534,5,"FMC - HAGERSTOWN","12931 OAK HILL AVE",HAGERSTOWN,MD,21742,WASHINGTON,Profit,"FRESENIUS MEDICAL CARE",29,TRUE,7/1/89,39.669315,-77.699955,1,rooftop,12931,"Oak Hill Ave",,,Hagerstown,MD,"Washington County",21742,US,Statewide
212616,5,"DAVITA DUNDALK DIALYSIS","14 COMMERCE ST",DUNDALK,MD,21222,BALTIMORE,Profit,DAVITA,12,TRUE,3/12/01,39.257484,-76.521576,1,rooftop,14,"Commerce St",,,Dundalk,MD,"Baltimore County",21222,US,Baltimore
212699,5,"DAVITA GLENARDEN DIALYSIS","9701 PHILADELPHIA CT.",LANHAM,MD,20706,"PRINCE GEORGES",Profit,DAVITA,24,TRUE,1/20/16,38.960088,-76.837498,1,rooftop,9701,"Philadelphia Ct",,,Lanham,MD,"Prince George's County",20706,US,"Prince Georges"
212636,5,"DAVITA PIKESVILLE DIALYSIS","6609 REISTERSTOWN ROAD   STE 100",BALTIMORE,MD,21215,"BALTIMORE CITY",Profit,DAVITA,6,TRUE,5/12/03,39.357859,-76.703565,1,rooftop,6609,"Reisterstown Rd",Ste,100,Baltimore,MD,"Baltimore city",21215,US,"City of Baltimore"
212684,5,"LARGO PERITONEAL DIALYSIS","1221 MERCANTILE LN",LARGO,MD,20774,"PRINCE GEORGES",Non-Profit,"KAISER PERMANENTE",0,FALSE,5/30/14,38.90698,-76.835599,1,rooftop,1221,"Mercantile Ln",,,"Upper Marlboro",MD,"Prince George's County",20774,US,"Prince Georges"
212503,5,"BMA - BETHESDA","6420 ROCKLEDGE DR",BETHESDA,MD,20817,MONTGOMERY,Profit,"FRESENIUS MEDICAL CARE",18,TRUE,9/1/77,39.024437,-77.133257,1,rooftop,6420,"Rockledge Dr",,,Bethesda,MD,"Montgomery County",20817,US,Montgomery
212705,5,"FRESENIUS MEDICAL CARE TOWSON","7801 YORK ROAD, STE. 150",TOWSON,MD,21204,BALTIMORE,Profit,"FRESENIUS MEDICAL CARE",16,TRUE,7/1/16,39.390579,-76.604043,0.9,rooftop,7801,"York Rd",Ste,150,Towson,MD,"Baltimore County",21286,US,Baltimore
212695,5,"DAVITA FORESTVILLE DIALYSIS","3424 DONNELL DR","DISTRICT HEIGHTS",MD,20747,"PRINCE GEORGES",Profit,DAVITA,19,TRUE,6/26/15,38.844566,-76.88338,1,rooftop,3424,"Donnell Dr",,,"District Heights",MD,"Prince George's County",20747,US,"Prince Georges"
212611,5,"FMC - PRINCE GEORGES COUNTY DIALYSIS","7558 ANNAPOLIS ROAD   STE C-1",LANHAM,MD,20784,"PRINCE GEORGES",Non-Profit,"FRESENIUS MEDICAL CARE",22,TRUE,3/7/00,38.952222,-76.885028,1,range_interpolation,7558,"Annapolis Rd",Ste,C1,Hyattsville,MD,"Prince George's County",20784,US,"TIGER/Line® dataset from the US Census Bureau"
212631,5,"DAVITA GLEN BURNIE DIALYSIS","6934 AVIATION BLVD","GLEN BURNIE",MD,21061,"ANNE ARUNDEL",Profit,DAVITA,30,TRUE,4/3/03,39.174809,-76.646113,1,rooftop,6934,"Aviation Blvd",,,"Glen Burnie",MD,"Anne Arundel County",21061,US,"Anne Arundel County"
212683,5,"DAVITA CORAL HILLS DIALYSIS","4797 MARLBORO PIKE","CAPITOL HEIGHTS",MD,20743,"PRINCE GEORGES",Profit,DAVITA,19,TRUE,2/26/14,38.87248,-76.931335,1,rooftop,4797,"Marlboro Pike",,,"Capitol Heights",MD,"Prince George's County",20743,US,"Prince Georges"
212662,5,"US RENAL CARE OF OLD ALEXANDRIA DIALYSIS","7201 OLD ALEXANDRIA FERRY RD",CLINTON,MD,20735,"PRINCE GEORGES",Profit,"US RENAL CARE, INC.",24,TRUE,11/30/09,38.782802,-76.88191,1,rooftop,7201,"Old Alexandria Ferry Rd",,,Clinton,MD,"Prince George's County",20735,US,"Prince Georges"
212709,5,"FRESENIUS KIDNEY CARE BROADWAY STREET","1900 NORTH BROADWAY STREET",BALTIMORE,MD,21213,"BALTIMORE CITY",Profit,"FRESENIUS MEDICAL CARE",26,TRUE,8/23/16,39.312524,-76.596221,1,rooftop,1900,"N Broadway",,,Baltimore,MD,"Baltimore city",21213,US,"City of Baltimore"
212731,5,"DAVITA EDGEWOOD DIALYSIS","1415 S. MOUNTAIN RD",JOPPA,MD,21085,HARFORD,Profit,DAVITA,16,TRUE,6/25/18,39.439621,-76.344737,1,rooftop,1415,"S Mountain Rd",,,Joppa,MD,"Harford County",21085,US,Harford
212725,5,"DAVITA RIDGE ROAD DIALYSIS","530 E RIDGEVILLE BLVD","MOUNT AIRY",MD,21771,FREDERICK,Profit,DAVITA,13,TRUE,12/6/17,39.362485,-77.159027,1,rooftop,530,"E Ridgeville Blvd",,,"Mount Airy",MD,"Carroll County",21771,US,Carroll
212673,5,"DAVITA DEER CREEK HOME TRAINING","602 S ATWOOD RD","BEL AIR",MD,21014,HARFORD,Profit,DAVITA,0,FALSE,8/20/12,39.526197,-76.347739,1,range_interpolation,602,"S Atwood Rd",,,"Bel Air",MD,"Harford County",21014,US,"TIGER/Line® dataset from the US Census Bureau"
212688,5,"NORTHPOINT DIALYSIS, LLC","1046 OLD NORTHPOINT RD",BALTIMORE,MD,21224,"BALTIMORE CITY",Profit,"FUTURE CARE",6,TRUE,6/9/14,39.279207,-76.557237,0.33,place,,,,,Baltimore,MD,"Baltimore city",21224,US,"TIGER/Line® dataset from the US Census Bureau"
212638,5,"DAVITA GERMANTOWN DIALYSIS","20111 CENTURY BLVD   STE C",GERMANTOWN,MD,20874,MONTGOMERY,Profit,DAVITA,21,TRUE,11/18/03,39.18657,-77.259324,1,rooftop,20111,"Century Blvd",Ste,,Germantown,MD,"Montgomery County",20874,US,Montgomery
212577,5,"US RENAL CARE - NORTH BALTIMORE","2700 NORTH CHARLES ST",BALTIMORE,MD,21218,"BALTIMORE CITY",Profit,"US RENAL CARE, INC.",11,TRUE,8/15/97,39.321302,-76.617673,1,rooftop,2700,"N Charles St",,,Baltimore,MD,"Baltimore city",21218,US,"City of Baltimore"
212543,5,"DAVITA BERTHA SIRK DIALYSIS CENTER","5820 YORK RD",BALTIMORE,MD,21212,"BALTIMORE CITY",Profit,DAVITA,16,TRUE,6/1/91,39.361399,-76.610782,1,rooftop,5820,"York Rd",,,Baltimore,MD,"Baltimore city",21212,US,"City of Baltimore"
212566,5,"US RENAL CARE OXON HILL DIALYSIS","5410 INDIAN HEAD HWY","OXON HILL",MD,20745,"PRINCE GEORGES",Profit,"US RENAL CARE, INC.",16,TRUE,12/16/96,38.815615,-76.997762,1,rooftop,5410,"Indian Head Hwy",,,"Oxon Hill",MD,"Prince George's County",20745,US,"Prince Georges"
212626,5,"DAVITA RENAL CARE OF BOWIE","4861 TELSA DR   STE H",BOWIE,MD,20715,"PRINCE GEORGES",Profit,DAVITA,24,TRUE,8/5/02,38.956428,-76.710892,1,rooftop,4861,"Telsa Dr",Ste,H,Bowie,MD,"Prince George's County",20715,US,Statewide
212557,5,"BMA - SOUTH ANNAPOLIS","304 HARRY S TRUMAN PKWY",ANNAPOLIS,MD,21401,"ANNE ARUNDEL",Profit,"FRESENIUS MEDICAL CARE",15,TRUE,3/1/95,38.974541,-76.556465,1,rooftop,304,"Harry S Truman Pkwy",,,Annapolis,MD,"Anne Arundel County",21401,US,"Anne Arundel County"
212713,5,"DAVITA LARGO TOWN CENTER DIALYSIS","1101 MERCANTILE LANE",LARGO,MD,20774,"PRINCE GEORGES",Profit,DAVITA,23,TRUE,9/14/16,38.905272,-76.836853,1,rooftop,1101,"Mercantile Ln",,,"Upper Marlboro",MD,"Prince George's County",20774,US,"Prince Georges"
212511,5,"DAVITA ROCKVILLE DIALYSIS CENTER","15204 OMEGA DRIVE",ROCKVILLE,MD,20850,MONTGOMERY,Profit,DAVITA,24,TRUE,3/1/80,39.107169,-77.196726,1,rooftop,15204,"Omega Dr",,,Rockville,MD,"Montgomery County",20850,US,Montgomery
212520,5,"DAVITA BERLIN DIALYSIS CENTER","9952 MAIN STREET",BERLIN,MD,21811,WORCESTER,Profit,DAVITA,19,TRUE,10/1/85,38.342896,-75.219443,1,range_interpolation,9952,"Main St",,,Berlin,MD,"Worcester County",21811,US,"TIGER/Line® dataset from the US Census Bureau"
212544,5,"IDF - ARUNDEL CENTER","804 LANDMARK DRIVE","GLEN BURNIE",MD,21061,"ANNE ARUNDEL",Non-Profit,"INDEPENDENT DIALYSIS FOUNDATION (IDF)",24,TRUE,12/1/91,39.14694,-76.642124,1,rooftop,804,"Landmark Dr",,,"Glen Burnie",MD,"Anne Arundel County",21061,US,"Anne Arundel County"
212729,5,"CAPITAL REGION DIALYSIS CLINIC LLC","1051 BRIGHTSEAT RD",LANDOVER,MD,20785,"PRINCE GEORGES",Profit,INDEPENDENT,9,TRUE,6/14/18,38.905237,-76.852463,1,rooftop,1051,"Brightseat Rd",,,Hyattsville,MD,"Prince George's County",20785,US,"Prince Georges"
212588,5,"DAVITA FALLS ROAD DIALYSIS","1423 CLARKVIEW ROAD",BALTIMORE,MD,21209,"BALTIMORE CITY",Profit,DAVITA,12,TRUE,7/29/98,39.37976,-76.655901,1,rooftop,1423,"Clarkview Rd",,,Baltimore,MD,"Baltimore County",21209,US,Baltimore
212619,5,"US RENAL CARE - CHESAPEAKE","305 COLLEGE PKY",ARNOLD,MD,21012,"ANNE ARUNDEL",Profit,"US RENAL CARE, INC.",6,TRUE,11/27/01,39.049418,-76.504082,1,rooftop,305,"College Pkwy",,,Arnold,MD,"Anne Arundel County",21012,US,"Anne Arundel County"
212677,5,"FRESENIUS ANNE ARUNDEL OUTPATIENT DIALYSIS SERVICES, LLC","1105 ANNAPOLIS RD",ODENTON,MD,21113,"ANNE ARUNDEL",Profit,"FRESENIUS MEDICAL CARE",19,TRUE,4/29/13,39.079155,-76.686884,1,rooftop,1105,"Annapolis Rd",,,Odenton,MD,"Anne Arundel County",21113,US,"Anne Arundel County"
212693,5,"FMC - LEXINGTON PARK DIALYSIS","44930 WORTH AVE",CALIFORNIA,MD,20619,"SAINT MARYS",Profit,"FRESENIUS MEDICAL CARE",16,TRUE,2/4/15,38.301823,-76.522087,1,rooftop,44930,"Worth Ave",,,California,MD,"St. Mary's County",20619,US,"St Marys"
212737,5,"DAVITA LIVINGSTON VILLAGE DIALYSIS","11700 LIVINGSTON RD","FORT WASHINGTON",MD,20744,"PRINCE GEORGES",Profit,DAVITA,19,TRUE,10/21/19,38.729042,-76.991219,1,rooftop,11700,"Livingston Rd",,,"Fort Washington",MD,"Prince George's County",20744,US,"Prince Georges"
212538,5,"DAVITA KIDNEY CARE OF LAUREL","14631 LAUREL BOWIE RD",LAUREL,MD,20707,"PRINCE GEORGES",Profit,DAVITA,18,TRUE,9/1/90,39.092838,-76.842805,0.9,rooftop,14631,"Laurel Bowie Rd",,,Laurel,MD,"Prince George's County",20708,US,"Prince Georges"
212724,5,"DAVITA LAUREL LAKES DIALYSIS","14500 LAUREL PLACE",LAUREL,MD,20707,"PRINCE GEORGES",Profit,DAVITA,13,TRUE,12/15/17,39.089128,-76.861023,1,rooftop,14500,"Laurel Pl",,,Laurel,MD,"Prince George's County",20707,US,"Prince Georges"
212560,5,"DAVITA ELLICOTT CITY DIALYSIS","3419 PLUM TREE DRIVE","ELLICOTT CITY",MD,21042,HOWARD,Non-Profit,DAVITA,18,TRUE,5/25/95,39.276665,-76.835112,1,rooftop,3419,"Plumtree Dr",,,"Ellicott City",MD,"Howard County",21042,US,Howard
