"Address Line 1",City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"6 FREEWAY DRIVE","LITTLE ROCK",AR,72204,34.743299,-92.355525,1,rooftop,6,"Freeway Dr",,,"Little Rock",AR,"Pulaski County",72204,US,Pulaski
"540 E WASHINGTON",JONESBORO,AR,72401,35.838636,-90.700101,1,rooftop,540,"E Washington Ave",,,Jonesboro,AR,"Craighead County",72401,US,"Arkansas Geographic Information Office"
"SPRINGHILL MEDICAL PLAZA","NORTH LITTLE ROCK",AR,72117,34.784024,-92.218409,1,street_center,,"Springhill Rd",,,"North Little Rock",AR,"Pulaski County",72117,US,"TIGER/Line® dataset from the US Census Bureau"
"2125 E MAIN STE 12","SILOAM SPRINGS",AR,72761,36.181715,-94.518879,1,rooftop,2125,"E Main St",,,"Siloam Springs",AR,"Benton County",72761,US,"Arkansas Geographic Information Office"
"1332 W KEISER AVE",OSCEOLA,AR,72370,35.697902,-89.991453,1,range_interpolation,1332,"W Keiser Ave",,,Osceola,AR,"Mississippi County",72370,US,"TIGER/Line® dataset from the US Census Bureau"
"PRATT SQUARE",NEWPORT,AR,72112,35.640389,-91.245999,1,street_center,,"Pretty St",,,Newport,AR,"Jackson County",72112,US,"TIGER/Line® dataset from the US Census Bureau"
"3121 W SECOND CT",RUSSELLVILLE,AR,72801,35.28561,-93.168111,1,rooftop,3121,"W 2nd Ct",,,Russellville,AR,"Pope County",72801,US,"Arkansas Geographic Information Office"
"3208 LANGLEY ST",SEARCY,AR,72143,35.245503,-91.694888,1,rooftop,3208,"Langley Dr",,,Searcy,AR,"White County",72143,US,"Arkansas Geographic Information Office"
"801 SE PLAZA AVE STE 1",BENTONVILLE,AR,72712,36.33441,-94.201026,1,rooftop,801,"SE Plaza Ave",Ste,1,Bentonville,AR,"Benton County",72712,US,"Arkansas Geographic Information Office"
"310 S RHODES","WEST MEMPHIS",AR,72301,35.143126,-90.18737,1,rooftop,310,"S Rhodes St",,,"West Memphis",AR,"Crittenden County",72301,US,"Arkansas Geographic Information Office"
"1019 FRED LAGRONE DR",CROSSETT,AR,71635,33.139759,-91.937828,1,rooftop,1019,"Fred Lagrone Dr",,,Crossett,AR,"Ashley County",71635,US,"Arkansas Geographic Information Office"
"1114 WASHINGTON NW",CAMDEN,AR,71701,33.584988,-92.8491,0.9,range_interpolation,1114,"W Washington St",,,Camden,AR,"Ouachita County",71701,US,"TIGER/Line® dataset from the US Census Bureau"
"9421 WEST MARKHAM","LITTLE ROCK",AR,72205,34.753029,-92.379348,1,rooftop,9421,"W Markham St",,,"Little Rock",AR,"Pulaski County",72205,US,Pulaski
"200 EAST 8TH ST #101","MOUNTAIN HOME",AR,72653,36.333943,-92.383202,1,rooftop,200,"E 8th St",Ste,101,"Mountain Home",AR,"Baxter County",72653,US,"Arkansas Geographic Information Office"
"1120 STATE HWY 77  STE 2",MARION,AR,72364,35.183793,-90.184051,1,rooftop,1120,"Highway 77",Ste,77,Marion,AR,"Crittenden County",72364,US,"Arkansas Geographic Information Office"
"4505 E MCCAIN BLVD","NORTH LITTLE ROCK",AR,72117,34.789648,-92.214069,1,rooftop,4505,"E McCain Blvd",,,"North Little Rock",AR,"Pulaski County",72117,US,Pulaski
"2630 DONAGHEY AVE",CONWAY,AR,72032,35.111903,-92.449106,1,range_interpolation,2630,"Donaghey Ave",,,Conway,AR,"Faulkner County",72032,US,"TIGER/Line® dataset from the US Census Bureau"
"1409 GLADDEN",HARRISON,AR,72601,36.246326,-93.122109,1,rooftop,1409,"Gladden St",,,Harrison,AR,"Boone County",72601,US,Boone
"6115 BASELINE RD","LITTLE ROCK",AR,72209,34.668763,-92.346179,1,rooftop,6115,"Baseline Rd",,,"Little Rock",AR,"Pulaski County",72209,US,Pulaski
"509 E MILLSAP STE 111",FAYETTEVILLE,AR,72703,36.113882,-94.150322,1,rooftop,509,"E Millsap Rd",Ste,111,Fayetteville,AR,"Washington County",72703,US,"City of Fayetteville"
"816 EAST ST",TEXARKANA,AR,71854,33.413045,-94.028677,1,rooftop,816,"East St",,,Texarkana,AR,"Miller County",71854,US,"Arkansas Geographic Information Office"
"1900 MALVERN AVE STE 102","HOT SPRINGS",AR,71901,34.486915,-93.035753,1,rooftop,1900,"Malvern Ave",Ste,102,"Hot Springs National Park",AR,"Garland County",71901,US,"Arkansas Geographic Information Office"
"210 BARROW HILL RD","FORREST CITY",AR,72335,35.041392,-90.788883,1,rooftop,210,"Barrow Hill Rd",,,"Forrest City",AR,"St. Francis County",72335,US,"Arkansas Geographic Information Office"
"GROUND LEVEL-1200 N MAIN STE 2",BENTON,AR,72015,34.485476,-92.585282,1,place,,,,,Benton,AR,"Saline County",72015,US,"TIGER/Line® dataset from the US Census Bureau"
"1411 N JACKSON",MAGNOLIA,AR,71754,33.280518,-93.236166,0.9,rooftop,1411,"N Jackson",,,Magnolia,AR,"Columbia County",71753,US,"Arkansas Geographic Information Office"
"107 E MONTE PAINTER DR",FAYETTEVILLE,AR,72703,36.109467,-94.15592,1,rooftop,107,"E Monte Painter Dr",,,Fayetteville,AR,"Washington County",72703,US,"City of Fayetteville"
"505 SAINT MARYS STREET","LAKE VILLAGE",AR,71653,33.329541,-91.286187,1,rooftop,505,"St Marys St",,,"Lake Village",AR,"Chicot County",71653,US,"Arkansas Geographic Information Office"
"400 T P WHITE DR",JACKSONVILLE,AR,72076,34.871301,-92.122638,1,rooftop,400,"T P White Dr",,,Jacksonville,AR,"Pulaski County",72076,US,Pulaski
"2070 MCKENZIE ROAD",SPRINGDALE,AR,72762,36.167788,-94.185939,1,rooftop,2070,"McKenzie St",,,Springdale,AR,"Washington County",72762,US,"Arkansas Geographic Information Office"
"2130 W 24TH ST",YUMA,AZ,85364,32.685425,-114.645586,1,rooftop,2130,"W 24th St",,,Yuma,AZ,"Yuma County",85364,US,Yuma
"13000 N 103RD AVE STE 66","SUN CITY",AZ,85351,33.601889,-112.281824,1,rooftop,13000,"N 103rd Ave",Ste,66,"Sun City",AZ,"Maricopa County",85351,US,Maricopa
"1957 W DUNLAP AVE STE 6C",PHOENIX,AZ,85021,33.567446,-112.101037,1,range_interpolation,1957,"W Dunlap Ave",Ste,6,Phoenix,AZ,"Maricopa County",85021,US,"TIGER/Line® dataset from the US Census Bureau"
"1457 W SOUTHERN AVE STE 19",MESA,AZ,85202,33.391629,-111.863408,1,rooftop,1457,"W Southern Ave",Ste,19,Mesa,AZ,"Maricopa County",85202,US,"City of Mesa"
"6261 N LA CHOLLA BLVD STE 181",TUCSON,AZ,85741,32.320792,-111.013274,1,rooftop,6261,"N La Cholla Blvd",Ste,181,Tucson,AZ,"Pima County",85741,US,Pima
"4407 WEST PEORIA AVE",GLENDALE,AZ,85302,33.58158,-112.154355,1,rooftop,4407,"W Peoria Ave",,,Glendale,AZ,"Maricopa County",85302,US,"City of Glendale"
"1211 N COUNTRY CLUB DR STE 4",MESA,AZ,85201,33.436361,-111.839585,1,rooftop,1211,"N Country Club Dr",Ste,4,Mesa,AZ,"Maricopa County",85201,US,"City of Mesa"
"5222 E BASELINE RD STE 104",GILBERT,AZ,85234,33.380237,-111.71882,1,rooftop,5222,"E Baseline Rd",Ste,104,Gilbert,AZ,"Maricopa County",85234,US,Maricopa
"13090 N 94TH DR STE 100",PEORIA,AZ,85381,33.602121,-112.263311,1,rooftop,13090,"N 94th Dr",Ste,100,Peoria,AZ,"Maricopa County",85381,US,Maricopa
"1430 W VALENCIA RD STE 1",TUCSON,AZ,85746,32.13444,-110.994858,1,rooftop,1430,"W Valencia Rd",Ste,1,Tucson,AZ,"Pima County",85746,US,Pima
"9250 WEST THOMAS ROAD",PHOENIX,AZ,85037,33.482296,-112.260371,1,rooftop,9250,"W Thomas Rd",,,Phoenix,AZ,"Maricopa County",85037,US,Maricopa
"14620 WEST ENCANTO",GOODYEAR,AZ,85395,33.472151,-112.374162,1,rooftop,14620,"W Encanto Blvd",,,Goodyear,AZ,"Maricopa County",85395,US,Maricopa
"4621 S CENTRAL AVE",PHOENIX,AZ,85040,33.404383,-112.072706,1,rooftop,4621,"S Central Ave",,,Phoenix,AZ,"Maricopa County",85040,US,Maricopa
"1920 E CAMBRIDGE RD STE 102",PHOENIX,AZ,85016,33.47768,-112.040955,0.9,range_interpolation,1920,"E Cambridge Ave",Ste,102,Phoenix,AZ,"Maricopa County",85006,US,"TIGER/Line® dataset from the US Census Bureau"
"13907 W CAMINO DEL SOL","SUN CITY WEST",AZ,85375,33.65745,-112.362375,1,rooftop,13907,"W Camino Del Sol",,,"Sun City West",AZ,"Maricopa County",85375,US,Maricopa
"1605 N. INDUSTRIAL PARK DR. STE H",NOGALES,AZ,85621,31.361838,-110.94858,1,rooftop,1605,"N Industrial Park Dr",Ste,H,Nogales,AZ,"Santa Cruz County",85621,US,"Santa Cruz"
"2901 E GRANT RD",TUCSON,AZ,85716,32.25055,-110.928867,1,rooftop,2901,"E Grant Rd",,,Tucson,AZ,"Pima County",85716,US,Pima
"5555 MESA VERDE DR","SIERRA VISTA",AZ,85635,31.549688,-110.235582,1,range_interpolation,5555,"Mesa Verde Dr",,,"Sierra Vista",AZ,"Cochise County",85635,US,"TIGER/Line® dataset from the US Census Bureau"
"14510 W SHUMWAY DR STE 100","SUN CITY WEST",AZ,85375,33.663118,-112.372111,1,rooftop,14510,"W Shumway Dr",Ste,100,"Sun City West",AZ,"Maricopa County",85375,US,Maricopa
"9220 E MOUNTAIN VIEW RD STE 105",SCOTTSDALE,AZ,85258,33.576407,-111.879886,1,rooftop,9220,"E Mountain View Rd",Ste,105,Scottsdale,AZ,"Maricopa County",85258,US,Maricopa
"9721 WEST PECOS RD- RR2, BOX 807",LAVEEN,AZ,85339,33.290297,-112.147918,0.6,street_center,,"W Pecos Rd",,,Laveen,AZ,"Maricopa County",85339,US,"TIGER/Line® dataset from the US Census Bureau"
"629 N HIGHWAY 90 STE 6 & 7","SIERRA VISTA",AZ,85635,31.561098,-110.254686,1,rooftop,629,"N Highway 90th Byp",Ste,90,"Sierra Vista",AZ,"Cochise County",85635,US,Cochise
"11540 E UNIVERSITY DR STE 109","APACHE JUNCTION",AZ,85220,33.423461,-111.581519,0.9,rooftop,11540,"E University Dr",Ste,109,"Apache Junction",AZ,"Maricopa County",85120,US,"City of Mesa"
"7179 E 31ST PL",YUMA,AZ,85365,32.671216,-114.509978,1,rooftop,7179,"E 31st Pl",,,Yuma,AZ,"Yuma County",85365,US,Yuma
"100 W GRANT RD",TUCSON,AZ,85705,32.251275,-110.97357,1,rooftop,100,"W Grant Rd",,,Tucson,AZ,"Pima County",85705,US,Pima
"1337 S GILBERT RD STE 106",MESA,AZ,85204,33.390101,-111.786877,1,rooftop,1337,"S Gilbert Rd",Ste,106,Mesa,AZ,"Maricopa County",85204,US,"City of Mesa"
"975 W CHANDLER HEIGHTS STE 101",CHANDLER,AZ,85248,33.2327,-111.854739,1,range_interpolation,975,"W Chandler Heights Rd",Ste,101,Chandler,AZ,"Maricopa County",85248,US,"TIGER/Line® dataset from the US Census Bureau"
"1699 E COTTONWOOD ST, A-200",COTTONWOOD,AZ,86326,34.728414,-112.005093,1,rooftop,1699,"E Cottonwood St",,,Cottonwood,AZ,"Yavapai County",86326,US,Yavapai
"14786 S HIGHWAY 77 - POB 729",MAMMOTH,AZ,85618,32.740315,-110.649623,1,rooftop,14786,"S Highway 77",,,Mammoth,AZ,"Pinal County",85618,US,Pinal
"4901 W MCDOWELL ROAD",PHOENIX,AZ,85035,33.465578,-112.165791,1,rooftop,4901,"W McDowell Rd",,,Phoenix,AZ,"Maricopa County",85035,US,Statewide
"HWY 86 - MP 113",SELLS,AZ,85634,32.174931,-112.157406,1,street_center,,"State Rte 86",,,Sells,AZ,"Pima County",85634,US,"TIGER/Line® dataset from the US Census Bureau"
"13430 N SAGUARO BLVD","FOUNTAIN HILLS",AZ,85268,33.608448,-111.715737,1,rooftop,13430,"N Saguaro Blvd",,,"Fountain Hills",AZ,"Maricopa County",85268,US,Maricopa
"8910 N 43RD AVE STE 107",GLENDALE,AZ,85302,33.566129,-112.152818,1,rooftop,8910,"N 43rd Ave",Ste,107,Glendale,AZ,"Maricopa County",85302,US,"City of Glendale"
"1250 S 20TH AVE",SAFFORD,AZ,85546,32.825754,-109.733154,1,range_interpolation,1250,"S 20th Ave",,,Safford,AZ,"Graham County",85546,US,"TIGER/Line® dataset from the US Census Bureau"
"16101 N 82ND ST STE 6-7",SCOTTSDALE,AZ,85260,33.632861,-111.902479,1,rooftop,16101,"N 82nd St",Ste,6,Scottsdale,AZ,"Maricopa County",85260,US,"City of Scottsdale"
"10750 W MCDOWELL RD STE E500",AVONDALE,AZ,85323,33.465514,-112.291202,0.9,rooftop,10750,"W McDowell Rd",Ste,E500,Avondale,AZ,"Maricopa County",85392,US,Maricopa
"2250 HIGHWAY 60 STE O-2",MIAMI,AZ,85539,33.415135,-110.826275,0.8,rooftop,2250,"E US Highway 60",Ste,60,Globe,AZ,"Gila County",85501,US,Gila
"7362 W THUNDERBIRD RD SUITE 104",PEORIA,AZ,85381,33.61098,-112.217738,1,rooftop,7362,"W Thunderbird Rd",Ste,104,Peoria,AZ,"Maricopa County",85381,US,Maricopa
"HIGHWAY 264 MP 388",POLACCA,AZ,86042,35.83667,-110.38152,1,place,,,,,Polacca,AZ,"Navajo County",86042,US,"TIGER/Line® dataset from the US Census Bureau"
"3511 MERCY RD STE 101",GILBERT,AZ,85297,33.285581,-111.749933,0.9,rooftop,3511,"S Mercy Rd",Ste,101,Gilbert,AZ,"Maricopa County",85297,US,Maricopa
"8410 W THOMAS RD STE 100 BLDG 1",PHOENIX,AZ,85037,33.480914,-112.241641,1,rooftop,8410,"W Thomas Rd",Ste,100,Phoenix,AZ,"Maricopa County",85037,US,Maricopa
"2145 MESQUITE AVE","LAKE HAVASU CITY",AZ,86403,34.477152,-114.326702,1,rooftop,2145,"Mesquite Ave Lake Havasu City",,,"Lake Havasu City",AZ,"Mohave County",86403,US,Statewide
"3605 RANCH DR",PRESCOTT,AZ,86303,34.547668,-112.401416,1,rooftop,3605,"Ranch Dr",,,Prescott,AZ,"Yavapai County",86303,US,Yavapai
"565 W SEED FARM RD",SACATON,AZ,85247,33.074262,-111.75305,0.6,street_center,,"Seed Farm Rd",,,Sacaton,AZ,"Pinal County",85247,US,"TIGER/Line® dataset from the US Census Bureau"
"500 N BULLARD AVE STE C34",GOODYEAR,AZ,85338,33.452409,-112.377145,1,rooftop,500,"N Bullard Ave",Ste,C34,Goodyear,AZ,"Maricopa County",85338,US,Maricopa
"1525 N GILBERT RD STE 121",GILBERT,AZ,85234,33.377444,-111.787496,1,rooftop,1525,"N Gilbert Rd",Ste,121,Gilbert,AZ,"Maricopa County",85234,US,"City of Gilbert"
"926 E MC DOWELL RD",PHOENIX,AZ,85006,33.466224,-112.061374,1,rooftop,926,"E McDowell Rd",,,Phoenix,AZ,"Maricopa County",85006,US,Maricopa
"16536 N MARICOPA RD",MARICOPA,AZ,85139,33.029682,-112.047566,0.9,range_interpolation,16536,"N Maricopa Rd",,,Maricopa,AZ,"Pinal County",85139,US,"TIGER/Line® dataset from the US Census Bureau"
"1041 N ARIZOLA RD","CASA GRANDE",AZ,85122,32.883665,-111.714744,1,rooftop,1041,"N Arizola Rd",,,"Casa Grande",AZ,"Pinal County",85122,US,Pinal
"5957 W NORTHERN AVE STE 108",GLENDALE,AZ,85301,33.552563,-112.189687,1,rooftop,5957,"W Northern Ave",Ste,108,Glendale,AZ,"Maricopa County",85301,US,"City of Glendale"
"5115 EAST THOMAS, SUITE #115",PHOENIX,AZ,85018,33.479912,-111.971039,1,range_interpolation,5115,"E Thomas Rd",Ste,115,Phoenix,AZ,"Maricopa County",85018,US,"TIGER/Line® dataset from the US Census Bureau"
"1495 N HAYDEN STE D1-D4",SCOTTSDALE,AZ,85257,33.464435,-111.908318,1,rooftop,1495,"N Hayden Rd",Ste,1,Scottsdale,AZ,"Maricopa County",85257,US,Maricopa
"15930 48TH STREET",PHOENIX,AZ,85048,33.302247,-111.980482,0.9,range_interpolation,15930,"S 48th St",,,Phoenix,AZ,"Maricopa County",85048,US,"TIGER/Line® dataset from the US Census Bureau"
"135 S POWER RD STE 103",MESA,AZ,85206,33.412648,-111.683239,1,rooftop,135,"S Power Rd",Ste,103,Mesa,AZ,"Maricopa County",85206,US,"City of Mesa"
"2545 EAST THOMAS ROAD",PHOENIX,AZ,85016,33.47994,-112.026191,0.9,rooftop,2545,"E Thomas Rd",,,Phoenix,AZ,"Maricopa County",85008,US,Maricopa
"2268 N WALGREENS ST",FLAGSTAFF,AZ,86004,35.207413,-111.603336,1,rooftop,2268,"N Walgreens St",,,Flagstaff,AZ,"Coconino County",86004,US,"City of Flagstaff"
"US 70 & AZ ROUTE 170",PERIDOT,AZ,85542,33.391458,-110.764398,0.9,street_center,,"US Hwy 70",,,Globe,AZ,"Gila County",85501,US,"TIGER/Line® dataset from the US Census Bureau"
"1700 W COMMERCE POINTE PL",SAHUARITA,AZ,85629,31.897265,-111.002371,0.9,rooftop,1700,"W Commerce Point Pl",,,"Green Valley",AZ,"Pima County",85614,US,Pima
"4845 W MCDOWELL RD STE 10A",PHOENIX,AZ,85035,33.465297,-112.163356,1,rooftop,4845,"W McDowell Rd",Ste,10,Phoenix,AZ,"Maricopa County",85035,US,Maricopa
"1134 E UNIVERSITY DR STE 101",MESA,AZ,85203,33.422657,-111.806424,1,rooftop,1134,"E University Dr",Ste,101,Mesa,AZ,"Maricopa County",85203,US,"City of Mesa"
"2802 SOUTH 6TH AVE",TUCSON,AZ,85713,32.190228,-110.968628,1,rooftop,2802,"S 6th Ave",,,Tucson,AZ,"Pima County",85713,US,Pima
"2945 W INA RD STE 105",TUCSON,AZ,85741,32.33652,-111.030599,1,rooftop,2945,"W Ina Rd",Ste,105,Tucson,AZ,"Pima County",85741,US,Pima
"1021 S 7TH AVE STE 108",PHOENIX,AZ,85007,33.438075,-112.082388,0.6,range_interpolation,1021,"S 7th Ave",Ste,108,Phoenix,AZ,"Maricopa County",85007,US,"TIGER/Line® dataset from the US Census Bureau"
"2024 E IRVINGTON RD",TUCSON,AZ,85714,32.162153,-110.940905,1,rooftop,2024,"E Irvington Rd",,,Tucson,AZ,"Pima County",85714,US,Pima
"1635 N SWAN ROAD",TUCSON,AZ,85712,32.242476,-110.893903,1,rooftop,1635,"N Swan Rd",,,Tucson,AZ,"Pima County",85712,US,Pima
"16844 N 59TH AVE",GLENDALE,AZ,85306,33.637462,-112.188452,0.9,rooftop,16844,"N 59th Ave",,,Glendale,AZ,"Maricopa County",85308,US,"City of Glendale"
"3815 E. BELL ROAD STE. 1100",PHOENIX,AZ,85032,33.638537,-111.998997,1,rooftop,3815,"E Bell Rd",Ste,1100,Phoenix,AZ,"Maricopa County",85032,US,Maricopa
"337 E CORONADO RD STE 101",PHOENIX,AZ,85004,33.467047,-112.067638,1,rooftop,337,"E Coronado Rd",Ste,101,Phoenix,AZ,"Maricopa County",85004,US,Maricopa
"26 E BASELINE STE 142",PHOENIX,AZ,85042,33.37421,-112.039966,0.3,place,,,,,Phoenix,AZ,"Maricopa County",85042,US,"TIGER/Line® dataset from the US Census Bureau"
"4502 W INDIAN SCHOOL RD STE A4-11",PHOENIX,AZ,85031,33.495106,-112.155988,1,range_interpolation,4502,"W Indian School Rd",Ste,4,Phoenix,AZ,"Maricopa County",85031,US,"TIGER/Line® dataset from the US Census Bureau"
