"Provider Number",Network,"Facility Name","Address Line 1",City,State,Zip,County,"Profit or Non-Profit","Chain Organization","# of Dialysis Stations","Offers in-center hemodialysis","Certification or Recertification Date",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
422574,6,"FREEDOM DIALYSIS CENTER","1520 FREEDOM BOULEVARD",FLORENCE,SC,29505,FLORENCE,Profit,"FRESENIUS MEDICAL CARE",28,TRUE,4/5/00,34.163503,-79.752965,1,rooftop,1520,"Freedom Blvd",,,Florence,SC,"Florence County",29505,US,Florence
422607,6,"NORTH AUGUSTA DIALYSIS CENTER, LLC","10263 ATOMIC ROAD","NORTH AUGUSTA",SC,29841,AIKEN,Profit,"AMERICAN RENAL ASSOCIATES",21,TRUE,11/21/06,33.493742,-81.95051,0.66,nearest_rooftop_match,10294,"Atomic Rd",,,"North Augusta",SC,"Aiken County",29841,US,Aiken
422602,6,"US RENAL CARE,INC","306 MAIN STREET",EDGEFIELD,SC,29824,EDGEFIELD,Profit,"US RENAL CARE, INC.",15,TRUE,3/20/06,33.789512,-81.928502,0.9,range_interpolation,306,"Main St",,,Edgefield,SC,"Edgefield County",29824,US,"TIGER/Line® dataset from the US Census Bureau"
422541,6,"DSI EASLEY RENAL CENTER","125 WHITMIRE ROAD",EASLEY,SC,29640,PICKENS,Profit,"US RENAL CARE, INC.",28,TRUE,11/2/88,34.838946,-82.610159,1,rooftop,125,"Whitmire Rd",,,Easley,SC,"Pickens County",29640,US,Pickens
422530,6,"DARLINGTON DIALYSIS CENTER INC","1018 SOUTH GOVERNOR WILLIAMS HIGHWAY",DARLINGTON,SC,29532,DARLINGTON,Profit,"FRESENIUS MEDICAL CARE",20,TRUE,5/17/87,34.282814,-79.861107,1,range_interpolation,1018,"S Governor Williams Hwy",,,Darlington,SC,"Darlington County",29532,US,"TIGER/Line® dataset from the US Census Bureau"
422509,6,"FRESENIUS MEDICAL CARE CAMDEN","7 HAILE LANE",CAMDEN,SC,29020,KERSHAW,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,5/1/80,34.250619,-80.597083,1,range_interpolation,7,"Haile St",,,Camden,SC,"Kershaw County",29020,US,"TIGER/Line® dataset from the US Census Bureau"
422546,6,"FRESENIUS MEDICAL CARE MIDTOWN","150 PARK CENTRAL DRIVE",COLUMBIA,SC,29203,RICHLAND,Profit,"FRESENIUS MEDICAL CARE",25,TRUE,4/25/90,34.115229,-80.922697,0.9,range_interpolation,150,"Park St",,,Columbia,SC,"Richland County",29223,US,"TIGER/Line® dataset from the US Census Bureau"
422570,6,"FMC DIALYSIS SERVICES THE MARSHLANDS","28 RICE POND ROAD",RIDGELAND,SC,29936,JASPER,Profit,"FRESENIUS MEDICAL CARE",18,TRUE,5/6/99,32.319134,-80.938653,1,rooftop,28,"Rice Pond Rd",,,Ridgeland,SC,"Jasper County",29936,US,Jasper
422581,6,"FRESENIUS MEDICAL CARE FAIRFIELD COUNTY","1126 HWY 321 BUSINESS SOUTH STE A",WINNSBORO,SC,29180,FAIRFIELD,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,6/7/01,34.404548,-81.102076,1,range_interpolation,1126,"US Hwy 321",Ste,A,Winnsboro,SC,"Fairfield County",29180,US,"TIGER/Line® dataset from the US Census Bureau"
422537,6,"FRESENIUS MEDICAL CARE MANNING","3701 SUMTER HWY",MANNING,SC,29102,CLARENDON,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,9/6/88,33.699746,-80.213391,0.2,street_center,,"Sumter Ct",,,Manning,SC,"Clarendon County",29102,US,"TIGER/Line® dataset from the US Census Bureau"
422598,6,"DAVITA FABER PLACE DIALYSIS","3801 FABER PLACE DRIVE",CHARLESTON,SC,29405,CHARLESTON,Profit,DAVITA,16,TRUE,2/9/05,32.85172,-80.02212,1,range_interpolation,3801,"Faber Place Dr",,,"North Charleston",SC,"Charleston County",29405,US,"TIGER/Line® dataset from the US Census Bureau"
422513,6,"DCI WEST ASHLEY","46 B MARKFIELD ROAD",CHARLESTON,SC,29407,CHARLESTON,Non-Profit,"DIALYSIS CLINIC, INC.",23,TRUE,11/22/80,32.783577,-80.006205,0.9,rooftop,46,"Markfield Dr",,,Charleston,SC,"Charleston County",29407,US,"City of Charleston"
422582,6,"FRESENIUS MEDICAL CARE IRMO","1012 LYKES LANE",IRMO,SC,29063,RICHLAND,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,7/17/01,34.095755,-81.155671,1,range_interpolation,1012,"Lykes Ln",,,Irmo,SC,"Richland County",29063,US,"TIGER/Line® dataset from the US Census Bureau"
422590,6,"DCI PORT ROYAL","8 PRESNELL CIRCLE",BEAUFORT,SC,29902,BEAUFORT,Non-Profit,"DIALYSIS CLINIC, INC.",17,TRUE,6/18/03,32.382268,-80.729938,1,rooftop,8,"Presnell Cir",,,Beaufort,SC,"Beaufort County",29902,US,Beaufort
422577,6,"DIALYSIS CLINIC INC LANDRUM","110 ASBURY DRIVE",LANDRUM,SC,29356,SPARTANBURG,Non-Profit,"DIALYSIS CLINIC, INC.",13,TRUE,7/13/00,35.18002,-82.173967,1,range_interpolation,110,"Asbury Dr",,,Landrum,SC,"Spartanburg County",29356,US,"TIGER/Line® dataset from the US Census Bureau"
422505,6,"FLORENCE DIALYSIS CENTER","435 NORTH CASHUA DR",FLORENCE,SC,29501,FLORENCE,Profit,"FRESENIUS MEDICAL CARE",31,TRUE,9/1/76,34.202938,-79.800779,1,rooftop,435,"N Cashua Dr",,,Florence,SC,"Florence County",29501,US,Florence
422613,6,"FRESENIUS OF YORK","1440 E ALEXANDER LOVE HWY",YORK,SC,29745,YORK,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,10/9/07,34.990654,-81.204758,1,rooftop,1440,"Alexander Love Hwy E",,,York,SC,"York County",29745,US,"City of Rock Hill"
422630,6,"FRESENIUS MEDICAL CARE CHARLESTON COUNTY","901 VON KOLNITZ RD","MOUNT PLEASANT",SC,29464,CHARLESTON,Profit,"FRESENIUS MEDICAL CARE",10,TRUE,2/2/11,32.818972,-79.852905,1,range_interpolation,901,"Von Kolnitz Rd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"TIGER/Line® dataset from the US Census Bureau"
422628,6,"DAVITA ABBEVILLE DIALYSIS","904 W GREENWOOD ST",ABBEVILLE,SC,29620,ABBEVILLE,Profit,DAVITA,10,TRUE,12/17/10,34.171715,-82.376806,0.6,street_center,,"State Hwy 28",,,Abbeville,SC,"Abbeville County",29620,US,"TIGER/Line® dataset from the US Census Bureau"
422527,6,"DCI EAST COOPER","1088 JOHNNIE DODDS BLVD","MT PLEASANT",SC,29464,CHARLESTON,Non-Profit,"DIALYSIS CLINIC, INC.",16,TRUE,1/6/87,32.811212,-79.862537,0.9,range_interpolation,1088,"Johnnie Dodds Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"TIGER/Line® dataset from the US Census Bureau"
422567,6,"DAVITA DOWNTOWN GREENVILLE DIALYSIS","297 PETE HOLLIS BLVD.",GREENVILLE,SC,29601,GREENVILLE,Profit,DAVITA,21,TRUE,8/7/97,34.862056,-82.408233,1,rooftop,297,"Pete Hollis Blvd",,,Greenville,SC,"Greenville County",29601,US,Greenville
422611,6,"DAVITA GREER SOUTH DIALYSIS","3254 BRUSHY CREEK ROAD",GREER,SC,29650,GREENVILLE,Profit,DAVITA,21,TRUE,10/24/06,34.918761,-82.259393,1,rooftop,3254,"Brushy Creek Rd",,,Greer,SC,"Greenville County",29650,US,Greenville
422606,6,"HOLLYWOOD RAVENEL DIALYSIS CLINC","5953 JACOBS POINT BLVD",RAVENEL,SC,29470,CHARLESTON,Profit,"FRESENIUS MEDICAL CARE",16,TRUE,5/9/06,32.78249,-80.150864,1,rooftop,5953,"Jacobs Point Blvd",,,Ravenel,SC,"Charleston County",29470,US,Charleston
422552,6,"DCI UNION","921  THOMPSON BLVD",UNION,SC,29379,UNION,Non-Profit,"DIALYSIS CLINIC, INC.",25,TRUE,9/7/94,34.738426,-81.63527,1,rooftop,921,"Thompson Blvd",,,Union,SC,"Union County",29379,US,Union
422571,6,"FMC DIALYSIS SERVICES MURRELLS INLET","5011 HIGHWAY 17 BYPASS","MURRELLS INLET",SC,29576,GEORGETOWN,Profit,"FRESENIUS MEDICAL CARE",20,TRUE,6/30/99,33.540264,-79.053516,0.74,nearest_rooftop_match,4971,"Hwy 17th Byp",,,"Murrells Inlet",SC,"Georgetown County",29576,US,Georgetown
422531,6,"FMC OF NEWBERRY","2850 KINARD ST",NEWBERRY,SC,29108,NEWBERRY,Profit,"FRESENIUS MEDICAL CARE",22,TRUE,9/16/87,34.293065,-81.601932,1,rooftop,2850,"Kinard St",,,Newberry,SC,"Newberry County",29108,US,Newberry
422510,6,"FRESENIUS MEDICAL CARE SUMTER","615 WEST WESMARK BLVD",SUMTER,SC,29150,SUMTER,Profit,"FRESENIUS MEDICAL CARE",53,TRUE,5/1/80,33.952259,-80.398204,1,rooftop,615,"W Wesmark Blvd",,,Sumter,SC,"Sumter County",29150,US,Sumter
422521,6,"FMC KINGSTREE DIALYSIS","215 N BROOKS STREET",KINGSTREE,SC,29556,WILLIAMSBURG,Profit,"FRESENIUS MEDICAL CARE",33,TRUE,11/11/85,33.66748,-79.824676,1,range_interpolation,215,"N Brooks St",,,Kingstree,SC,"Williamsburg County",29556,US,"TIGER/Line® dataset from the US Census Bureau"
422618,6,"FRESENIUS MEDICAL CARE JOHNSONVILLE","200 STUCKEY ST",JOHNSONVILLE,SC,29555,FLORENCE,Profit,"FRESENIUS MEDICAL CARE",20,TRUE,7/21/08,33.810193,-79.444911,1,rooftop,200,"Stuckey St",,,Johnsonville,SC,"Florence County",29555,US,Florence
422547,6,"DAVITA SANTEE DIALYSIS","228 BRADFORD BLVD",SANTEE,SC,29142,ORANGEBURG,Profit,DAVITA,24,TRUE,6/1/92,33.483783,-80.47744,0.6,rooftop,228,"Bradford Blv",,,Santee,SC,"Orangeburg County",29142,US,Orangeburg
422591,6,"ORANGEBURG DIALYSIS","1184 ORANGEBURG MALL CIRCLE",ORANGEBURG,SC,29115,ORANGEBURG,Profit,"FRESENIUS MEDICAL CARE",15,TRUE,6/17/03,33.509904,-80.863495,1,rooftop,1184,"Orangeburg Mall Cir",,,Orangeburg,SC,"Orangeburg County",29115,US,Orangeburg
422575,6,"RAI CARE CENTERS CHARLESTON","2080 CHARLIE HALL BLVD",CHARLESTON,SC,29414,CHARLESTON,Profit,"FRESENIUS MEDICAL CARE",26,TRUE,5/17/00,32.815415,-80.045553,1,rooftop,2080,"Charlie Hall Blvd",,,Charleston,SC,"Charleston County",29414,US,"City of Charleston"
422535,6,"LORIS DIALYSIS CENTER","3827 BELL STREET",LORIS,SC,29569,HORRY,Profit,"FRESENIUS MEDICAL CARE",20,TRUE,6/1/88,34.056687,-78.893373,1,rooftop,3827,"Bell St",,,Loris,SC,"Horry County",29569,US,Horry
422603,6,"FRESENIUS MEDICAL CARE OF BATESBURG LEESVILLE","303 VILLAGE SQUARE DRIVE",LEESVILLE,SC,29070,LEXINGTON,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,3/22/06,33.914502,-81.519475,1,rooftop,303,"Village Square Dr",,,Leesville,SC,"Lexington County",29070,US,Lexington
422514,6,"BMA OF BEAUFORT INC LOW COUNTRY DIALYSIS","TWO PROFESSIONAL DRIVE","PORT ROYAL",SC,29935,BEAUFORT,Profit,"FRESENIUS MEDICAL CARE",22,TRUE,2/10/81,32.387434,-80.684392,1,place,,,,,"Port Royal",SC,"Beaufort County",29935,US,"TIGER/Line® dataset from the US Census Bureau"
422621,6,"FRESENIUS MEDICAL CARE FORT LAWN","5707 WILLOWBROOK ST","FORT LAWN",SC,29714,CHESTER,Profit,"FRESENIUS MEDICAL CARE",17,TRUE,4/7/09,34.700589,-80.897214,1,range_interpolation,5707,"Willowbrook St",,,"Fort Lawn",SC,"Chester County",29714,US,"TIGER/Line® dataset from the US Census Bureau"
422540,6,"DAVITA UPSTATE DIALYSIS CENTER","308 MILLS AVE",GREENVILLE,SC,29605,GREENVILLE,Profit,DAVITA,52,TRUE,10/8/88,34.82989,-82.408932,1,rooftop,308,"Mills Ave",,,Greenville,SC,"Greenville County",29605,US,Greenville
422580,6,"FMC DIALYSIS SERVICES ANDREWS","102 S COUNTY LINE ROAD",ANDREWS,SC,29510,GEORGETOWN,Profit,"FRESENIUS MEDICAL CARE",12,TRUE,5/15/01,33.35747,-79.656606,0.7,range_interpolation,102,"County Line Rd",,,Andrews,SC,"Williamsburg County",29510,US,"TIGER/Line® dataset from the US Census Bureau"
422586,6,"FMC DIALYSIS SERVICES OF HARTSVILLE","1308 SOUTH FOURTH STREET",HARTSVILLE,SC,29550,DARLINGTON,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,9/18/02,34.354476,-80.05943,1,rooftop,1308,"S 4th St",,,Hartsville,SC,"Darlington County",29550,US,Darlington
422614,6,"FRESENIUS MEDICAL CARE CHERAW","104 GRACE LANE",CHERAW,SC,29520,CHESTERFIELD,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,1/18/08,34.691548,-79.943741,0.33,place,,,,,Cheraw,SC,"Chesterfield County",29520,US,"TIGER/Line® dataset from the US Census Bureau"
422522,6,"DCI EAST SPARTANBURG","155 DILLON DRIVE",SPARTANBURG,SC,29307,SPARTANBURG,Non-Profit,"DIALYSIS CLINIC, INC.",35,TRUE,12/20/85,34.979872,-81.892434,1,range_interpolation,155,"Dillon Cir",,,Spartanburg,SC,"Spartanburg County",29307,US,"TIGER/Line® dataset from the US Census Bureau"
422566,6,"FRESENIUS MEDICAL CARE OF LEE COUNTY","289 FAIRVIEW AVE",BISHOPVILLE,SC,29010,LEE,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,6/30/97,34.212768,-80.256242,1,range_interpolation,289,"Fairview Ave",,,Bishopville,SC,"Lee County",29010,US,"TIGER/Line® dataset from the US Census Bureau"
422625,6,"FMC WINYAH","2623 SOUTH FRASER STREET",GEORGETOWN,SC,29440,GEORGETOWN,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,12/30/09,33.335606,-79.307312,1,range_interpolation,2623,"S Fraser St",,,Georgetown,SC,"Georgetown County",29440,US,"TIGER/Line® dataset from the US Census Bureau"
422599,6,"FRESENIUS MEDICAL SERVICES OF PENDLETON","908 S MECHANIC STREET",PENDLETON,SC,29670,ANDERSON,Profit,"FRESENIUS MEDICAL CARE",11,TRUE,3/23/05,34.637137,-82.783506,1,rooftop,908,"S Mechanic St",,,Pendleton,SC,"Anderson County",29670,US,Anderson
422610,6,"DAVITA MYRTLE BEACH DIALYSIS","3919 MAYFAIR STREET","MYRTLE BEACH",SC,29577,HORRY,Profit,DAVITA,16,TRUE,10/27/06,33.726558,-78.86414,1,rooftop,3919,"Mayfair St",,,"Myrtle Beach",SC,"Horry County",29577,US,Horry
422631,6,"DSI HOME DIALYSIS PLEASANTBURG","110 CHALMERS ROAD, SUITE D",GREENVILLE,SC,29605,GREENVILLE,Profit,"US RENAL CARE, INC.",3,FALSE,11/4/11,34.798465,-82.374913,0.82,nearest_rooftop_match,108,"Chalmers Rd",Ste,D,Greenville,SC,"Greenville County",29605,US,Greenville
422629,6,"NORTH MAIN KIDNEY CENTER","3900 NORTH MAIN STREET SUITE A",COLUMBIA,SC,29203,RICHLAND,Profit,"AMERICAN RENAL ASSOCIATES",21,TRUE,1/7/11,34.038667,-81.040606,1,range_interpolation,3900,"N Main St",Ste,A,Columbia,SC,"Richland County",29203,US,"TIGER/Line® dataset from the US Census Bureau"
422515,6,"DAVITA GREENWOOD DIALYSIS","109 OVERLAND DRIVE",GREENWOOD,SC,29646,GREENWOOD,Profit,DAVITA,41,TRUE,5/19/81,34.169808,-82.155289,1,rooftop,109,"Overland Dr",,,Greenwood,SC,"Greenwood County",29646,US,Greenwood
422504,6,"FRESENIUS MEDICAL CARE COLUMBIA","2125 ADAMS GROVE RD",COLUMBIA,SC,29203,RICHLAND,Profit,"FRESENIUS MEDICAL CARE",30,TRUE,9/1/76,34.027277,-81.026788,1,range_interpolation,2125,"Adams Grv",,,Columbia,SC,"Richland County",29203,US,"TIGER/Line® dataset from the US Census Bureau"
422548,6,"FMC HILTON HEAD DIALYSIS CENTER","25 HOSPITAL CENTER BLVD MEDICAL PAVILION","HILTON HEAD ISLAND",SC,29926,BEAUFORT,Profit,"FRESENIUS MEDICAL CARE",16,TRUE,10/16/92,32.223953,-80.71454,1,rooftop,25,"Hospital Center Blvd",,,"Hilton Head Island",SC,"Beaufort County",29926,US,"Hilton Head Island"
422572,6,"FMC MEADOWLAKE DIALYSIS","7631 WILSON BLVD",COLUMBIA,SC,29203,RICHLAND,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,2/17/00,34.077869,-80.997519,1,range_interpolation,7631,"Wilson Blvd",,,Columbia,SC,"Richland County",29203,US,"TIGER/Line® dataset from the US Census Bureau"
422597,6,"DAVITA PENDLETON DIALYSIS","7703 HIGHWAY 76",PENDLETON,SC,29670,ANDERSON,Profit,DAVITA,10,TRUE,12/16/04,34.634025,-82.78575,1,rooftop,7703,"Highway 76",,,Pendleton,SC,"Anderson County",29670,US,Anderson
422503,6,"DSI GREENVILLE RENAL CENTER","1004 GROVE ROAD",GREENVILLE,SC,29605,GREENVILLE,Profit,"US RENAL CARE, INC.",37,TRUE,9/1/76,34.814225,-82.41856,1,rooftop,1004,"Grove Rd",,,Greenville,SC,"Greenville County",29605,US,Greenville
422532,6,"FRESENIUS MEDICAL CARE DILLON","1304 HIGHWAY 301 SOUTH",DILLON,SC,29536,DILLON,Profit,"FRESENIUS MEDICAL CARE",21,TRUE,11/6/87,34.427976,-79.36223,0.9,range_interpolation,1304,"Hwy 301 N",,,Dillon,SC,"Dillon County",29536,US,"TIGER/Line® dataset from the US Census Bureau"
422600,6,"FMC SERVICES OF BELTON HONEA PATH","200 CHURCH STREET","HONEA PATH",SC,29654,ANDERSON,Profit,"FRESENIUS MEDICAL CARE",17,TRUE,7/27/05,34.441611,-82.389559,1,rooftop,200,"Church St",,,"Honea Path",SC,"Anderson County",29654,US,Anderson
422511,6,"DCI SPARTANBURG","203 FREEMONT AVENUE",SPARTANBURG,SC,29303,SPARTANBURG,Non-Profit,"DIALYSIS CLINIC, INC.",43,TRUE,7/21/80,34.96112,-81.945136,1,rooftop,203,"Fremont Ave",,,Spartanburg,SC,"Spartanburg County",29303,US,"City of Spartanburg"
