Provider Number,Network,Facility Name,Address Line 1,City,State,Zip,County,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Offers in-center hemodialysis,Certification or Recertification Date
42501,13,FT SMITH REGIONAL DIALYSIS CTR,2201 BROOKEN HILL DR,FORT SMITH,AR,72908,SEBASTIAN,Profit,INDEPENDENT,55,TRUE,5/11/77
42582,13,DAVITA MENA DIALYSIS CENTER,1200 CRESTWOOD CIR,MENA,AR,71953,POLK,Profit,DAVITA,15,TRUE,1/30/08
42543,13,FMCNA - MONTICELLO,774 JORDAN DR,MONTICELLO,AR,71655,DREW,Profit,FRESENIUS MEDICAL CARE,16,TRUE,3/31/97
42550,13,"BIO-MEDICAL APPLICATIONS OF ARKANSAS, INC",1001 E MOULTRIE,BLYTHEVILLE,AR,72315,MISSISSIPPI,Profit,FRESENIUS MEDICAL CARE,24,TRUE,7/1/98
42586,13,X CLOSED DAVITA - ROGERS DIALYSIS,101 N 37TH STREET,ROGERS,AR,72756,BENTON,Profit,DAVITA,16,TRUE,8/31/11
42588,13,NEA BAPTIST CLINIC - HILLTOP,4909 E JOHNSON AVE,JONESBORO,AR,72401,CRAIGHEAD,Profit,INDEPENDENT,12,TRUE,2/20/13
42570,13,DAVITA MALVERN DIALYSIS,1590 TANNER RD,MALVERN,AR,72104,HOT SPRING,Profit,DAVITA,26,TRUE,4/14/03
42518,13,FMCNA - FAULKNER COUNTY,201 SKYLINE DR  STE 32,CONWAY,AR,72032,FAULKNER,Profit,FRESENIUS MEDICAL CARE,10,TRUE,12/19/88
42545,13,DAVITA SOUTHWEST ARKANSAS DIALYSIS,225 N DUDNEY,MAGNOLIA,AR,71753,COLUMBIA,Profit,DAVITA,9,TRUE,7/25/97
43501,13,ST BERNARDS-WYNNE,310 S FALLS BLVD,WYNNE,AR,72396,CROSS,Non-Profit,INDEPENDENT,12,TRUE,9/21/01
42563,13,DAVITA HEMPSTEAD COUNTY DIALYSIS,"1301 N HERVEY ST, SUITE B",HOPE,AR,71801,HEMPSTEAD,Profit,DAVITA,20,TRUE,9/28/01
42512,13,DAVITA DEGRAY DIALYSIS,312 PROFESSIONAL PARK DR STE H,ARKADELPHIA,AR,71923,CLARK,Profit,DAVITA,17,TRUE,9/12/86
42310,13,ARKANSAS CHILDRENS HOSPITAL-DIALYSIS,1 CHILDRENS WAY-SLOT 204,LITTLE ROCK,AR,72202,PULASKI,Non-Profit,INDEPENDENT,7,TRUE,1/11/79
42596,13,HIDDEN SPRINGS DIALYSIS CTR,"3000 NW ""A"" STREET",BENTONVILLE,AR,72712,BENTON,Profit,INDEPENDENT,12,TRUE,5/16/18
42556,13,FMCNA - BENTON,2101 CONGO RD,BENTON,AR,72015,SALINE,Profit,FRESENIUS MEDICAL CARE,16,TRUE,4/12/99
42510,13,FMCNA - HELENA,108 D ANNA PL,HELENA,AR,72342,PHILLIPS,Profit,FRESENIUS MEDICAL CARE,17,TRUE,3/14/84
42531,13,DAVITA HOT SPRINGS DIALYSIS,115 WRIGHTS ST STE A,HOT SPRINGS,AR,71913,GARLAND,Profit,DAVITA,28,TRUE,2/21/92
43502,13,ST. BERNARDS MEDICAL CENTER - OSCEOLA DIALYSIS,1420 W KEISER AVE,OSCEOLA,AR,72370,MISSISSIPPI,Non-Profit,INDEPENDENT,6,TRUE,1/24/17
42576,13,DAVITA BRADLEY COUNTY DIALYSIS,204 N BRAGG,WARREN,AR,71671,BRADLEY,Profit,DAVITA,16,TRUE,10/14/05
42535,13,DAVITA PULASKI COUNTY DIALYSIS,202 JOHN HARDIN DR,JACKSONVILLE,AR,72076,PULASKI,Profit,DAVITA,9,TRUE,1/9/95
42562,13,US RENAL CARE OF NORTHEAST AR - PARAGOULD,901 W KINGS HIGHWAY,PARAGOULD,AR,72450,GREENE,Profit,"US RENAL CARE, INC.",13,TRUE,3/9/01
42581,13,"VAMANA, INC",422 BEECH ST,TEXARKANA,AR,71854,MILLER,Profit,INDEPENDENT,11,TRUE,12/5/07
42599,13,SPRINGDALE DIALYSIS CTR,2158 BUTTERFIELD COACH RD,SPRINGDALE,AR,72764,WASHINGTON,Profit,INDEPENDENT,19,TRUE,7/22/19
42589,13,FMCNA - EAST LITTLE ROCK,5320 WEST 12TH ST,EAST LITTLE ROCK,AR,72204,PULASKI,Profit,FRESENIUS MEDICAL CARE,18,TRUE,9/23/13
42521,13,FMCNA - LITTLE ROCK DIALYSIS,10310 W MARKHAM STE 100,LITTLE ROCK,AR,72205,PULASKI,Profit,FRESENIUS MEDICAL CARE,20,TRUE,6/14/89
42547,13,DAVITA LITTLE ROCK MIDTOWN DIALYSIS,#2 LILE CT STE 102,LITTLE ROCK,AR,72205,PULASKI,Profit,DAVITA,24,TRUE,5/15/98
42583,13,DCI - MCCRORY,139 W HWY 64 STE 100,MCCRORY,AR,72101,WOODRUFF,Non-Profit,"DIALYSIS CLINIC, INC.",9,TRUE,9/24/08
42564,13,US RENAL CARE - PINE BLUFF,2800 W 28TH ST,PINE BLUFF,AR,71603,JEFFERSON,Profit,"US RENAL CARE, INC.",24,TRUE,9/27/01
42595,13,DAVITA POCAHONTAS DIALYSIS,404 CAMP RD,POCAHONTAS,AR,72455,RANDOLPH,Profit,DAVITA,8,TRUE,6/14/16
42537,13,FMCNA - STUTTGART DIALYSIS,805 WEST MADISON,STUTTGART,AR,72160,ARKANSAS,Profit,FRESENIUS MEDICAL CARE,15,TRUE,12/19/95
42571,13,DAVITA CENTRAL LITTLE ROCK DIALYSIS,6 FREEWAY DRIVE,LITTLE ROCK,AR,72204,PULASKI,Profit,DAVITA,20,TRUE,3/1/03
42303,13,ST BERNARDS REGIONAL MED CTR-DIALYSIS,540 E WASHINGTON,JONESBORO,AR,72401,CRAIGHEAD,Non-Profit,INDEPENDENT,20,TRUE,9/5/78
42513,13,DAVITA SPRINGHILL DIALYSIS,SPRINGHILL MEDICAL PLAZA,NORTH LITTLE ROCK,AR,72117,PULASKI,Profit,DAVITA,17,TRUE,7/10/87
42580,13,DIALYSIS CENTER OF SILOAM SPRINGS,2125 E MAIN STE 12,SILOAM SPRINGS,AR,72761,BENTON,Profit,INDEPENDENT,11,TRUE,2/26/07
42534,13,DAVITA OSCEOLA DIALYSIS,1332 W KEISER AVE,OSCEOLA,AR,72370,MISSISSIPPI,Profit,DAVITA,12,TRUE,1/1/94
42554,13,DAVITA JACKSON COUNTY DIALYSIS,PRATT SQUARE,NEWPORT,AR,72112,JACKSON,Profit,DAVITA,9,TRUE,2/5/99
42508,13,DAVITA RIVER VALLEY DIALYSIS,3121 W SECOND CT,RUSSELLVILLE,AR,72801,POPE,Profit,DAVITA,20,TRUE,10/8/83
42514,13,DAVITA SEARCY DIALYSIS,3208 LANGLEY ST,SEARCY,AR,72143,WHITE,Profit,DAVITA,16,TRUE,7/29/87
42575,13,BENTON COUNTY DIALYSIS CTR,801 SE PLAZA AVE STE 1,BENTONVILLE,AR,72712,BENTON,Profit,INDEPENDENT,17,TRUE,9/9/05
42528,13,FMCNA - EAST ARKANSAS,310 S RHODES,WEST MEMPHIS,AR,72301,CRITTENDEN,Profit,FRESENIUS MEDICAL CARE,25,TRUE,7/9/90
42560,13,DAVITA ASHLEY DIALYSIS,1019 FRED LAGRONE DR,CROSSETT,AR,71635,ASHLEY,Profit,DAVITA,24,TRUE,3/15/00
42525,13,DAVITA OUACHITA VALLEY DIALYSIS,1114 WASHINGTON NW,CAMDEN,AR,71701,OUACHITA,Profit,DAVITA,25,TRUE,7/13/90
42593,13,ARKANSAS STAFF ASSISTED HEMODIALYSIS CLINIC,9421 WEST MARKHAM,LITTLE ROCK,AR,72205,PULASKI,Non-Profit,INDEPENDENT,4,TRUE,3/24/16
42567,13,DAVITA RENAL CENTER OF MOUNTAIN HOME,200 EAST 8TH ST #101,MOUNTAIN HOME,AR,72653,BAXTER,Profit,RENAL VENTURES MANAGEMENT,20,TRUE,4/1/02
42573,13,DAVITA RENAL CARE MARION AT HOME,1120 STATE HWY 77  STE 2,MARION,AR,72364,CRITTENDEN,Profit,DAVITA,24,TRUE,3/12/04
42548,13,DAVITA NORTH LITTLE ROCK DIALYSIS CENTER,4505 E MCCAIN BLVD,NORTH LITTLE ROCK,AR,72117,PULASKI,Profit,DAVITA,12,TRUE,5/29/98
42598,13,DAVITA COLLEGE CITY DIALYSIS,2630 DONAGHEY AVE,CONWAY,AR,72032,FAULKNER,Profit,DAVITA,20,TRUE,10/12/18
42584,13,HARRISON DIALYSIS,1409 GLADDEN,HARRISON,AR,72601,BOONE,Profit,INDEPENDENT,20,TRUE,3/13/09
42590,13,DAVITA SOUTH LITTLE ROCKDIALYSIS,6115 BASELINE RD,LITTLE ROCK,AR,72209,PULASKI,Profit,DAVITA,13,TRUE,12/29/14
42539,13,DAVITA FAYETTEVILLE DIALYSIS,509 E MILLSAP STE 111,FAYETTEVILLE,AR,72703,WASHINGTON,Profit,DAVITA,9,TRUE,1/1/96
42578,13,DAVITA MILLER COUNTY DIALYSIS,816 EAST ST,TEXARKANA,AR,71854,MILLER,Profit,DAVITA,20,TRUE,8/2/06
42507,13,DAVITA OUACHITA DIALYSIS,1900 MALVERN AVE STE 102,HOT SPRINGS,AR,71901,GARLAND,Profit,DAVITA,24,TRUE,4/12/82
42533,13,FMCNA - ST FRANCIS COUNTY DIALYSIS,210 BARROW HILL RD,FORREST CITY,AR,72335,SAINT FRANCIS,Profit,FRESENIUS MEDICAL CARE,22,TRUE,11/10/93
42558,13,DAVITA SALINE COUNTY DIALYSIS,GROUND LEVEL-1200 N MAIN STE 2,BENTON,AR,72015,SALINE,Profit,DAVITA,12,TRUE,9/15/99
42515,13,KIDNEY DISEASE AND DIALYSIS CLINIC OF MAGNOLIA,1411 N JACKSON,MAGNOLIA,AR,71754,COLUMBIA,Profit,INDEPENDENT,12,TRUE,9/2/87
42574,13,NORTH HILLS DIALYSIS,107 E MONTE PAINTER DR,FAYETTEVILLE,AR,72703,WASHINGTON,Profit,INDEPENDENT,19,TRUE,8/3/05
42527,13,FKC - LAKE VILLAGE,505 SAINT MARYS STREET,LAKE VILLAGE,AR,71653,CHICOT,Profit,FRESENIUS MEDICAL CARE,15,TRUE,9/28/90
42553,13,DAVITA JACKSONVILLE CENTRAL DIALYSIS CENTER,400 T P WHITE DR,JACKSONVILLE,AR,72076,PULASKI,Profit,DAVITA,12,TRUE,12/7/98
42568,13,DAVITA SPRINGDALE DIALYSIS,2070 MCKENZIE ROAD,SPRINGDALE,AR,72762,WASHINGTON,Profit,DAVITA,16,TRUE,7/3/02
32502,15,DAVITA YUMA DIALYSIS,2130 W 24TH ST,YUMA,AZ,85364,YUMA,Profit,DAVITA,30,TRUE,6/28/78
32572,15,DAVITA DESERT DIALYSIS,13000 N 103RD AVE STE 66,SUN CITY,AZ,85351,MARICOPA,Profit,DAVITA,20,TRUE,7/23/97
32550,15,NORTH PHOENIX DIALYSIS (FMC),1957 W DUNLAP AVE STE 6C,PHOENIX,AZ,85021,MARICOPA,Profit,FRESENIUS MEDICAL CARE,19,TRUE,12/10/93
32526,15,SOUTHWEST MESA DIALYSIS (DSI),1457 W SOUTHERN AVE STE 19,MESA,AZ,85202,MARICOPA,Profit,NATIONAL RENAL INSTITUTES,24,TRUE,12/7/88
32613,15,NORTHWEST TUCSON DIALYSIS (FMC),6261 N LA CHOLLA BLVD STE 181,TUCSON,AZ,85741,PIMA,Profit,FRESENIUS MEDICAL CARE,20,TRUE,9/20/07
32646,15,FMC-GLENDALE TOWN CENTER,4407 WEST PEORIA AVE,GLENDALE,AZ,85302,MARICOPA,Profit,FRESENIUS MEDICAL CARE,25,TRUE,8/29/16
32568,15,RED MOUNTAIN DIALYSIS (FMC),1211 N COUNTRY CLUB DR STE 4,MESA,AZ,85201,MARICOPA,Profit,FRESENIUS MEDICAL CARE,13,TRUE,3/7/97
32605,15,DAVITA GILBERT DIALYSIS CENTER,5222 E BASELINE RD STE 104,GILBERT,AZ,85234,MARICOPA,Profit,DAVITA,24,TRUE,10/8/04
32503,15,PHOENIX ARTIFICIAL KIDNEY CENTER (FMC),13090 N 94TH DR STE 100,PEORIA,AZ,85381,MARICOPA,Profit,FRESENIUS MEDICAL CARE,21,TRUE,3/26/79
32626,15,MIDVALE PARK DIALYSIS (FMC),1430 W VALENCIA RD STE 1,TUCSON,AZ,85746,PIMA,Profit,FRESENIUS MEDICAL CARE,23,TRUE,4/24/09
32639,15,"ESTRELLA MOUNTAIN DIALYSIS, LLC (ARA)",9250 WEST THOMAS ROAD,PHOENIX,AZ,85037,MARICOPA,Profit,AMERICAN RENAL ASSOCIATES,18,TRUE,3/6/13
32658,15,DAVITA DIALYSIS CARE AT PALM VALLEY,14620 WEST ENCANTO,GOODYEAR,AZ,85395,MARICOPA,Profit,DAVITA,24,TRUE,11/6/19
32583,15,SOUTH PHOENIX DIALYSIS (DSI),4621 S CENTRAL AVE,PHOENIX,AZ,85040,MARICOPA,Profit,INDEPENDENT,20,TRUE,6/28/00
32314,15,PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER,1920 E CAMBRIDGE RD STE 102,PHOENIX,AZ,85016,MARICOPA,Non-Profit,INDEPENDENT,6,TRUE,10/22/01
32621,15,DAVITA WESTBROOK DIALYSIS,13907 W CAMINO DEL SOL,SUN CITY WEST,AZ,85375,MARICOPA,Profit,DAVITA,16,TRUE,6/18/08
32543,15,DAVITA NOGALES DIALYSIS,1605 N. INDUSTRIAL PARK DR. STE H,NOGALES,AZ,85621,SANTA CRUZ,Profit,DAVITA,13,TRUE,3/15/93
32627,15,DAVITA TUCSON CENTRAL DIALYSIS,2901 E GRANT RD,TUCSON,AZ,85716,PIMA,Profit,DAVITA,12,TRUE,6/10/09
32654,15,FRESENIUS KIDNEY CARE CANYON VISTA,5555 MESA VERDE DR,SIERRA VISTA,AZ,85635,COCHISE,Profit,FRESENIUS MEDICAL CARE,15,TRUE,8/1/19
32593,15,GRANITE VALLEY DIALYSIS (FMC),14510 W SHUMWAY DR STE 100,SUN CITY WEST,AZ,85375,MARICOPA,Profit,FRESENIUS MEDICAL CARE,18,TRUE,1/16/02
32525,15,DAVITA DESERT MOUNTAIN DIALYSIS CENTER,9220 E MOUNTAIN VIEW RD STE 105,SCOTTSDALE,AZ,85258,MARICOPA,Profit,DAVITA,24,TRUE,9/1/88
33503,15,GILA RIVER DIALYSIS WEST,"9721 WEST PECOS RD- RR2, BOX 807",LAVEEN,AZ,85339,MARICOPA,Non-Profit,INDEPENDENT,20,TRUE,8/24/05
32520,15,DAVITA SIERRA VISTA DIALYSIS,629 N HIGHWAY 90 STE 6 & 7,SIERRA VISTA,AZ,85635,COCHISE,Profit,DAVITA,20,TRUE,6/20/87
32578,15,APACHE JUNCTION DIALYSIS (FMC),11540 E UNIVERSITY DR STE 109,APACHE JUNCTION,AZ,85220,PINAL,Profit,FRESENIUS MEDICAL CARE,24,TRUE,1/22/99
32556,15,DAVITA SOUTH YUMA DIALYSIS,7179 E 31ST PL,YUMA,AZ,85365,YUMA,Profit,DAVITA,20,TRUE,3/27/95
32617,15,TUCSON WEST DIALYSIS CENTER (FMC),100 W GRANT RD,TUCSON,AZ,85705,PIMA,Profit,FRESENIUS MEDICAL CARE,24,TRUE,5/7/08
32535,15,HOME DIALYSIS OF MESA (FMC),1337 S GILBERT RD STE 106,MESA,AZ,85204,MARICOPA,Profit,FRESENIUS MEDICAL CARE,1,FALSE,6/17/91
32631,15,DAVITA OCOTILLO DIALYSIS,975 W CHANDLER HEIGHTS STE 101,CHANDLER,AZ,85248,MARICOPA,Profit,DAVITA,12,TRUE,2/8/10
32562,15,DAVITA COTTONWOOD DIALYSIS,"1699 E COTTONWOOD ST, A-200",COTTONWOOD,AZ,86326,YAVAPAI,Profit,DAVITA,10,TRUE,12/1/96
32598,15,MAMMOTH DIALYSIS (FMC),14786 S HIGHWAY 77 - POB 729,MAMMOTH,AZ,85618,PINAL,Profit,FRESENIUS MEDICAL CARE,12,TRUE,4/16/03
32650,15,FRESENIUS KIDNEY CARE DESERT SAGE,4901 W MCDOWELL ROAD,PHOENIX,AZ,85035,MARICOPA,Profit,FRESENIUS MEDICAL CARE,25,TRUE,9/11/17
32513,15,DAVITA SELLS DIALYSIS,HWY 86 - MP 113,SELLS,AZ,85634,PIMA,Profit,DAVITA,20,TRUE,1/1/85
32645,15,DAVITA FOUNTAIN HILLS DIALYSIS,13430 N SAGUARO BLVD,FOUNTAIN HILLS,AZ,85268,MARICOPA,Profit,DAVITA,12,TRUE,3/4/16
32630,15,DAVITA BROOKWOOD DIALYSIS CENTER,8910 N 43RD AVE STE 107,GLENDALE,AZ,85302,MARICOPA,Profit,DAVITA,24,TRUE,10/5/09
32549,15,SAFFORD DIALYSIS (FMC),1250 S 20TH AVE,SAFFORD,AZ,85546,GRAHAM,Profit,RENAL CARE GROUP INC.,16,TRUE,9/9/97
32571,15,NORTH SCOTTSDALE DIALYSIS (FMC),16101 N 82ND ST STE 6-7,SCOTTSDALE,AZ,85260,MARICOPA,Profit,FRESENIUS MEDICAL CARE,13,TRUE,6/20/97
32607,15,AVONDALE DIALYSIS (FMC),10750 W MCDOWELL RD STE E500,AVONDALE,AZ,85323,MARICOPA,Profit,FRESENIUS MEDICAL CARE,20,TRUE,5/9/05
32533,15,GLOBE DIALYSIS (FMC),2250 HIGHWAY 60 STE O-2,MIAMI,AZ,85539,GILA,Profit,FRESENIUS MEDICAL CARE,16,TRUE,10/1/90
32640,15,DAVITA SWEETWATER RIDGE DIALYSIS,7362 W THUNDERBIRD RD SUITE 104,PEORIA,AZ,85381,MARICOPA,Profit,DAVITA,20,TRUE,5/15/13
32592,15,DAVITA HOPI DIALYSIS CENTER,HIGHWAY 264 MP 388,POLACCA,AZ,86042,NAVAJO,Profit,DAVITA,11,TRUE,8/28/01
32635,15,GILBERT DIALYSIS (FMC),3511 MERCY RD STE 101,GILBERT,AZ,85297,MARICOPA,Profit,FRESENIUS MEDICAL CARE,12,TRUE,3/23/11
32612,15,DAVITA ESTRELLA DIALYSIS CENTER,8410 W THOMAS RD STE 100 BLDG 1,PHOENIX,AZ,85037,MARICOPA,Profit,DAVITA,24,TRUE,12/6/06
32544,15,LAKE HAVASU DIALYSIS (FMC),2145 MESQUITE AVE,LAKE HAVASU CITY,AZ,86403,MOHAVE,Profit,RENAL CARE GROUP INC.,12,TRUE,4/6/93
32577,15,YAVAPAI DIALYSIS (FMC),3605 RANCH DR,PRESCOTT,AZ,86303,YAVAPAI,Profit,FRESENIUS MEDICAL CARE,16,TRUE,1/31/99
32315,15,GILA RIVER DIALYSIS EAST,565 W SEED FARM RD,SACATON,AZ,85247,PINAL,Non-Profit,INDEPENDENT,40,TRUE,1/4/06
32622,15,GOODYEAR DIALYSIS (FMC),500 N BULLARD AVE STE C34,GOODYEAR,AZ,85338,MARICOPA,Profit,FRESENIUS MEDICAL CARE,24,TRUE,8/6/08
32539,15,MESA DIALYSIS CENTER (FMC),1525 N GILBERT RD STE 121,GILBERT,AZ,85234,MARICOPA,Profit,FRESENIUS MEDICAL CARE,12,TRUE,9/8/97
32655,15,EVERGREEN PARK DIALYSIS,926 E MC DOWELL RD,PHOENIX,AZ,85006,MARICOPA,Profit,DAVITA,20,TRUE,8/14/19
32581,15,AK-CHIN DIALYSIS (FMC),16536 N MARICOPA RD,MARICOPA,AZ,85139,PINAL,Profit,RENAL CARE GROUP INC.,12,TRUE,2/10/00
32540,15,FRESENIUS KIDNEY CARE WESTERN SKIES,1041 N ARIZOLA RD,CASA GRANDE,AZ,85122,PINAL,Profit,FRESENIUS MEDICAL CARE,16,TRUE,6/24/96
32521,15,DIALYSIS CENTER OF GLENDALE (FMC),5957 W NORTHERN AVE STE 108,GLENDALE,AZ,85301,MARICOPA,Profit,FRESENIUS MEDICAL CARE,18,TRUE,3/1/85
32553,15,DAVITA PAPAGO DIALYSIS CENTER,"5115 EAST THOMAS, SUITE #115",PHOENIX,AZ,85018,MARICOPA,Profit,DAVITA,13,TRUE,9/6/94
32563,15,SCOTTSDALE DIALYSIS (FMC),1495 N HAYDEN STE D1-D4,SCOTTSDALE,AZ,85257,MARICOPA,Profit,FRESENIUS MEDICAL CARE,12,TRUE,3/1/97
32599,15,AHWATUKEE DIALYSIS (FMC),15930 48TH STREET,PHOENIX,AZ,85048,MARICOPA,Profit,RENAL CARE GROUP INC.,16,TRUE,5/7/03
32509,15,EAST VALLEY DIALYSIS (FMC),135 S POWER RD STE 103,MESA,AZ,85206,MARICOPA,Profit,FRESENIUS MEDICAL CARE,36,TRUE,9/11/97
32649,15,PEDIATRIC DIALYSIS CENTER OF PHOENIX LLC,2545 EAST THOMAS ROAD,PHOENIX,AZ,85016,MARICOPA,Profit,AMERICAN RENAL ASSOCIATES,2,FALSE,8/7/17
32636,15,US RENAL CARE FLAGSTAFF DIALYSIS,2268 N WALGREENS ST,FLAGSTAFF,AZ,86004,COCONINO,Profit,"US RENAL CARE, INC.",17,TRUE,2/29/12
32597,15,SAN CARLOS DIALYSIS (FMC),US 70 & AZ ROUTE 170,PERIDOT,AZ,85542,GILA,Profit,FRESENIUS MEDICAL CARE,16,TRUE,2/19/03
32616,15,DESERT DIALYSIS SAHUARITA (DCI),1700 W COMMERCE POINTE PL,SAHUARITA,AZ,85629,PIMA,Non-Profit,"DIALYSIS CLINIC, INC.",24,TRUE,4/30/08
32634,15,DAVITA MARYVALE DIALYSIS CENTER,4845 W MCDOWELL RD STE 10A,PHOENIX,AZ,85035,MARICOPA,Profit,DAVITA,24,TRUE,6/9/10
32624,15,DAVITA CENTRAL MESA DIALYSIS CENTER,1134 E UNIVERSITY DR STE 101,MESA,AZ,85203,MARICOPA,Profit,DAVITA,24,TRUE,11/26/08
32629,15,SOUTH TUCSON DIALYSIS (FMC),2802 SOUTH 6TH AVE,TUCSON,AZ,85713,PIMA,Profit,FRESENIUS MEDICAL CARE,24,TRUE,7/29/09
32618,15,DAVITA NORTHWEST TUCSON DIALYSIS,2945 W INA RD STE 105,TUCSON,AZ,85741,PIMA,Profit,DAVITA,18,TRUE,5/8/08
32508,15,SOUTH PHOENIX DIALYSIS SERVICES (FMC),1021 S 7TH AVE STE 108,PHOENIX,AZ,85007,MARICOPA,Profit,FRESENIUS MEDICAL CARE,18,TRUE,2/1/85
32589,15,DAVITA TUCSON SOUTH CENTRAL DIALYSIS,2024 E IRVINGTON RD,TUCSON,AZ,85714,PIMA,Profit,DAVITA,30,TRUE,10/4/01
32651,15,DAVITA SWAN DIALYSIS,1635 N SWAN ROAD,TUCSON,AZ,85712,PIMA,Profit,DAVITA,12,TRUE,1/10/18
32552,15,ARROWHEAD DIALYSIS (FMC),16844 N 59TH AVE,GLENDALE,AZ,85306,MARICOPA,Profit,FRESENIUS MEDICAL CARE,13,TRUE,7/19/94
32530,15,DESERT VALLEY DIALYSIS (FMC),3815 E. BELL ROAD STE. 1100,PHOENIX,AZ,85032,MARICOPA,Profit,FRESENIUS MEDICAL CARE,16,TRUE,10/18/89
32611,15,DAVITA PHOENIX DIALYSIS CENTER,337 E CORONADO RD STE 101,PHOENIX,AZ,85004,MARICOPA,Profit,DAVITA,24,TRUE,8/8/06
32545,15,SOUTH MOUNTAIN DIALYSIS CENTER (FMC),26 E BASELINE STE 142,PHOENIX,AZ,85042,MARICOPA,Profit,FRESENIUS MEDICAL CARE,17,TRUE,5/3/93
32564,15,MARYVALE DIALYSIS (FMC),4502 W INDIAN SCHOOL RD STE A4-11,PHOENIX,AZ,85031,MARICOPA,Profit,FRESENIUS MEDICAL CARE,28,TRUE,8/20/97
32656,15,FRESENIUS KIDNEY CARE WESTGATE,6622 N 91ST AVE,GLENDALE,AZ,85305,MARICOPA,Profit,FRESENIUS MEDICAL CARE,23,TRUE,7/31/19
32641,15,DAVITA SCOTTSDALE DIALYSIS,"5705 N SCOTTSDALE RD, STE 120",SCOTTSDALE,AZ,85250,MARICOPA,Profit,DAVITA,12,TRUE,1/22/15
32608,15,AVONDALE DIALYSIS (DSI),13055 W MCDOWELL RD STE F101,AVONDALE,AZ,85392,MARICOPA,Profit,INDEPENDENT,24,TRUE,5/27/05
32516,15,CHANDLER DIALYSIS (FMC),912 W CHANDLER BLVD BLDG A-D,CHANDLER,AZ,85225,MARICOPA,Profit,RENAL CARE GROUP INC.,24,TRUE,10/30/85
32522,15,PARKER DIALYSIS CENTER (FMC),AGENCY ROAD BLDG 173,PARKER,AZ,85344,LA PAZ,Profit,FRESENIUS MEDICAL CARE,10,TRUE,7/20/88
32558,15,BULLHEAD CITY DIALYSIS (FMC),2650 MIRACLE MILE,BULLHEAD CITY,AZ,86442,MOHAVE,Profit,FRESENIUS MEDICAL CARE,36,TRUE,5/17/95
32575,15,SHOW LOW DIALYSIS (FMC),1500 S WHITE MOUNTAIN BLVD STE 204,SHOW LOW,AZ,85901,NAVAJO,Profit,FRESENIUS MEDICAL CARE,12,TRUE,1/15/98
32316,15,BANNER UNIVERSITY MEDICAL CENTER PEDIATRIC OUTPATIENT DIALYSIS UNIT,PO BOX 245148,TUCSON,AZ,85724,PIMA,Non-Profit,INDEPENDENT,4,TRUE,9/20/12
32615,15,DAVITA RIM COUNTRY DIALYSIS,809 W LONGHORN RD STE E,PAYSON,AZ,85541,GILA,Profit,DAVITA,6,TRUE,4/9/08
32537,15,ESTRELLA DIALYSIS CENTER (FMC),5546 W ROOSEVELT ST STE 1,PHOENIX,AZ,85043,MARICOPA,Profit,FRESENIUS MEDICAL CARE,22,TRUE,8/19/91
