State,Code,Type,Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
California,XUSD,FC,"1909 Zephyr Street"," Stockton",CA,95206,37.918005,-121.251009,1,rooftop,1909,"Zephyr St",,,Stockton,CA,"San Joaquin County",95206,US,"San Joaquin County"
California,LGB3,FC,"4590 Goodman Way",Eastvale,CA,,0,0,0,,,,,,,,,,,
California,LGB4,FC,"27517 Pioneer Ave"," Redlands",CA,92374,34.079775,-117.204246,1,rooftop,27517,"Pioneer Ave",,,Redlands,CA,"San Bernardino County",92374,US,"San Bernardino County"
California,LGB6,FC,"20901 Krameria Ave"," Riverside",CA,92518-1513,33.878801,-117.299954,1,rooftop,20901,"Krameria Ave",,,"March Air Reserve Base",CA,"Riverside County",92518,US,Riverside
California,SMF1,FC,"4900 W Elkhorn Blvd",Sacramento,CA,,38.681913,-121.574327,1,rooftop,4900,"W Elkhorn Blvd",,,Sacramento,CA,"Sacramento County",95835,US,"Secramento County"
California,SNA7,FC,"555 East Orange Show Rd.","San Benardino",CA,92408,34.079577,-117.276069,1,range_interpolation,555,"E Orange Show Rd",,,"San Bernardino",CA,"San Bernardino County",92408,US,"TIGER/Line® dataset from the US Census Bureau"
California,OAK6,FC,"38811 Cherry Street"," Newark",California,,37.51982,-122.01448,1,rooftop,38811,"Cherry St",,,Newark,CA,"Alameda County",94560,US,"Alameda County"
California,ONT8,FC,"24300 Nandina Ave."," Moreno Valley",California,,33.86823,-117.237066,1,rooftop,24300,"Nandina Ave",,,"Moreno Valley",CA,"Riverside County",92551,US,Riverside
California,LGB8,FC,"1568 N Linden Ave"," Rialto",CA,92376,34.129602,-117.405381,1,rooftop,1568,"N Linden Ave",,,Rialto,CA,"San Bernardino County",92376,US,"San Bernardino County"
Colorado,DEN5,SC,"19799 E 36th Dr"," Aurora",CO,80011,39.767183,-104.75573,1,rooftop,19799,"E 36th Dr",,,Aurora,CO,"Adams County",80011,US,"City of Aurora"
Colorado,DEN2,FC,"24006 East 19th Avenue"," Aurora",CO,80019-3705,39.742413,-104.707725,1,rooftop,24006,"E 19th Ave",,,Aurora,CO,"Adams County",80019,US,"City of Aurora"
Colorado,DEN6,FC,"480 E 55th Ave"," Denver",CO,80216,39.796353,-104.98001,1,range_interpolation,480,"E 55th Ave",,,Denver,CO,"Adams County",80216,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,DEN3,FC,"14601 Grant St",Thorton,CO,80023,39.960868,-104.984299,1,rooftop,14601,"Grant St",,,Thornton,CO,"Adams County",80023,US,"City of Thornton"
Colorado,-,FC,"4222 Integration Loop","Colorado Springs",CO,80916,38.81033,-104.718555,0.3,place,,,,,"Colorado Springs",CO,"El Paso County",80916,US,"TIGER/Line® dataset from the US Census Bureau"
Connecticut,BDL1,FC,"801 Day Hill Road",Windsor,CT,06095,41.873602,-72.707537,1,rooftop,801,"Day Hill Rd",,,Windsor,CT,"Hartford County",06095,US,"Connecticut Geospatial Information Systems Council"
Connecticut,BDL5,SC,"29 Research Parkway"," Wallingford",CT,06492,41.494838,-72.763126,0.81,nearest_rooftop_match,25,"Research Pkwy",,,Wallingford,CT,"New Haven County",06492,US,"Connecticut Geospatial Information Systems Council"
Connecticut,BDL2,FC,"200 Old Iron Ore Rd",Windsor,CT,06095,41.878969,-72.705135,1,range_interpolation,200,"Old Iron Ore Rd",,,Windsor,CT,"Hartford County",06095,US,"TIGER/Line® dataset from the US Census Bureau"
Connecticut,BDL3,FC,"415 Washington Ave","North Haven",CT,06473,41.409431,-72.843845,1,range_interpolation,415,"Washington Ave",,,"North Haven",CT,"New Haven County",06473,US,"TIGER/Line® dataset from the US Census Bureau"
Connecticut,BDL6,FC,"120 County Line Dr",Cromwell,CT,06416,41.631763,-72.681151,0.74,nearest_rooftop_match,80,"County Line Dr",,,Cromwell,CT,"Middlesex County",06416,US,"Connecticut Geospatial Information Systems Council"
Connecticut,"Featured Prep Service",,,Berlin,CT,,0,0,0,,,,,,,,,,,
Delaware,PHL1,FC,"1 Centerpoint Boulevard"," New Castle",DE,19720,39.663984,-75.590233,1,rooftop,1,"Centerpoint Blvd",,,"Historic New Castle",DE,"New Castle County",19720,US,"New Castle"
Delaware,PHL3,FC,"1600 Johnson Way"," New Castle",DE,19720,39.659034,-75.589683,1,rooftop,1600,"Johnson Way",,,"Historic New Castle",DE,"New Castle County",19720,US,"New Castle"
Delaware,PHL7,FC,"560 Merrimac Avenue"," Middletown",DE,19709-4652,39.438652,-75.73318,1,rooftop,560,"Merrimac Ave",,,Middletown,DE,"New Castle County",19709,US,"New Castle"
Delaware,PHL8,FC,"727 N. Broad Street"," Middletown",DE,19709-1166,39.459351,-75.717506,1,rooftop,727,"N Broad St",,,Middletown,DE,"New Castle County",19709,US,"New Castle"
Delaware,,FC,"1025 Boxwood Rd",Wilmington,DE,19804,39.725791,-75.61497,1,range_interpolation,1025,"Boxwood Rd",,,Wilmington,DE,"New Castle County",19804,US,"TIGER/Line® dataset from the US Census Bureau"
Delaware,"FBA Prep Service",,,Wilmington,DE,,39.727113,-75.547844,1,place,,,,,Wilmington,DE,"New Castle County",19801,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,TPA1,FC,"3350 Laurel Ridge Ave"," Ruskin",FL,33570,27.726978,-82.387839,1,rooftop,3350,"Laurel Ridge Ave",,,Ruskin,FL,"Hillsborough County",33570,US,Statewide2
Florida,TPA2,FC,"1760 County Line Road"," Lakeland",FL,33811,28.020258,-82.053916,1,rooftop,1760,"County Line Rd",,,Lakeland,FL,"Polk County",33811,US,Polk
Florida,TPA3,FC,"576 C Fred Jones Blvd",Auburndale,FL,33823,28.153646,-81.818129,0.52,nearest_rooftop_match,676,"C Fred Jones Blvd",,,Auburndale,FL,"Polk County",33823,US,"MapWise (and individual Florida counties)"
Florida,TPA6,FC,"3400 NW 35th Ave Rd",Ocala,FL,34475,29.226909,-82.182185,0.78,rooftop,3400,"NW 35th Street Rd",,,Ocala,FL,"Marion County",34475,US,Marion
Florida,XUSF,FC,"901 W Landstreet Rd, Suite C",Orlando,FL,32824,28.437593,-81.391905,1,rooftop,901,"W Landstreet Rd",Ste,,Orlando,FL,"Orange County",32824,US,"Orange County"
Florida,MIA1,FC,"14000 NW 37th Ave",Opalocka,FL,33054,25.899878,-80.261039,1,rooftop,14000,"NW 37th Ave",,,"Opa Locka",FL,"Miami-Dade County",33054,US,"Miami-Dade County"
Florida,MCO1,FC,"12340 Boggy Creek Rd","Lake Nona",FL,32824,28.38521,-81.315277,1,rooftop,12340,"Boggy Creek Rd",,,Orlando,FL,"Orange County",32824,US,"Orange County"
Florida,MCO2,FC,"2600 N Normandy Blvd",Deltona,FL,32725,28.940487,-81.257601,1,rooftop,2600,"N Normandy Blvd",,,Deltona,FL,"Volusia County",32725,US,"Volusia County"
Florida,MCO9,FC,"2841 Access Dr",Davenport,FL,33897,28.228907,-81.659272,0.9,rooftop,2841,"Access Rd NW",,,Davenport,FL,"Polk County",33897,US,Polk
Florida,,FC,"13200 Southwest 272nd St",Homestead,FL,33032,25.512661,-80.402819,1,rooftop,13200,"SW 272nd St",,,Homestead,FL,"Miami-Dade County",33032,US,"Miami-Dade County"
Florida,PFL2,FC,"8060 State Rd 33 N",Jupiter,FL,33478,26.935021,-80.246071,0.33,place,,,,,Jupiter,FL,"Palm Beach County",33478,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,,FC,"4490 Corporate Rd North",Jupiter,FL,33478,26.908251,-80.274235,0.6,street_center,,"Corporate Rd N",,,Jupiter,FL,"Palm Beach County",33478,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,MIA1/5,SC,"1900 NW 132nd Place"," Doral",FL,,0,0,0,,,,,,,,,,,
Florida,MCO1/5,SC,"205 Deen Still Road"," Davenport",FL,33897,28.259312,-81.698697,0.9,range_interpolation,205,"Deen Still Rd",,,Davenport,FL,"Polk County",33897,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,JAX2,FC,"12900 Pecan Park Rd."," Jacksonville",FL,32218-2432,30.46524,-81.679631,1,rooftop,12900,"Pecan Park Rd",,,Jacksonville,FL,"Duval County",32218,US,Duval
Florida,JAX3,FC,"13333 103rd St. Cecil Commerce Center"," Jacksonville",FL,32221-8686,30.247873,-81.863811,1,rooftop,13333,"103rd St",,,Jacksonville,FL,"Duval County",32221,US,Duval
Florida,JAX5,SC,"4948 Bulls Bay Hwy"," Jacksonville",FL,32219-3235,30.385114,-81.788631,1,rooftop,4948,"Bulls Bay Hwy",,,Jacksonville,FL,"Duval County",32219,US,Duval
Florida,JAX7,FC,"10501 Cold Storage Rd #500 Building E",Jacksonville,FL,32725,30.430873,-81.626852,0.9,rooftop,10501,"Cold Storage Rd",#,500,Jacksonville,FL,"Duval County",32218,US,Duval
Florida,"FBA Prep Service",,,Sunrise,FL,,26.151416,-80.226211,0.8,place,,,,,Sunrise,FL,"Broward County",33313,US,"TIGER/Line® dataset from the US Census Bureau"
Georgia,ATL6,SC,"4200 North Commerce"," Atlanta",GA,30344-5707,33.643547,-84.500138,0.9,rooftop,4200,"N Commerce Dr",,,Atlanta,GA,"Fulton County",30349,US,"Fulton County"
Georgia,ATL8,SC,"2201 Thornton Rd."," Lithia Springs",GA,30122,33.744464,-84.59262,1,rooftop,2201,"Thornton Rd",,,"Lithia Springs",GA,"Douglas County",30122,US,Douglas
Georgia,ATL7,FC,"6855 Shannon Pkwy"," Union City",GA,30291-2091,33.568769,-84.539411,1,range_interpolation,6855,"Shannon Pkwy",,,"Union City",GA,"Fulton County",30291,US,"TIGER/Line® dataset from the US Census Bureau"
Georgia,MGE1,FC,"650 Broadway Ave"," Braselton",GA,30517-3002,34.107423,-83.774382,1,rooftop,650,"Broadway Ave",,,Braselton,GA,"Jackson County",30517,US,Jackson
Georgia,MGE3,FC,"808 Hog Mountain Rd.",Jefferson,GA,,34.159525,-83.627882,1,rooftop,808,"Hog Mountain Rd",,,Jefferson,GA,"Jackson County",30549,US,Jackson
Georgia,ATL2,FC,"2255 W Park Blvd","Stone Mountain",GA,30087,33.812174,-84.114633,0.7,rooftop,2255,"W Park Place Blvd",,,"Stone Mountain",GA,"Gwinnett County",30087,US,Gwinnett
Georgia,,FC,"5000 Lanier Islands Pkwy",Buford,GA,30518,34.143702,-83.959672,1,rooftop,5000,"Lanier Islands Pkwy",,,Buford,GA,"Hall County",30518,US,Hall
Georgia,,FC,"700 Innovation Pkwy",Appling,GA,30802,33.506592,-82.324225,0.61,nearest_rooftop_match,755,"Innovation Pkwy",,,Appling,GA,"Columbia County",30802,US,Columbia
Georgia,,FC,"7055 Campbellton Rd",Atlanta,GA,30331,33.693574,-84.616895,0.9,rooftop,7055,"Campbellton Rd SW",,,Atlanta,GA,"Fulton County",30331,US,"Fulton County"
Georgia,,FC,"5705 Campbellton-Fairburn Rd","Union City",GA,30213,33.602484,-84.607252,1,rooftop,5705,"Campbellton Fairburn Rd",,,Fairburn,GA,"Fulton County",30213,US,"Fulton County"
Georgia,PGA1,FC,"429 Troy Wright Rd",Pendergrass,GA,30567,34.16233,-83.67795,0.33,place,,,,,Pendergrass,GA,"Jackson County",30567,US,"TIGER/Line® dataset from the US Census Bureau"
Georgia,MGE8,FC,"4905 Derrick Rd",Atlanta,GA,30349,33.623679,-84.585034,1,rooftop,4905,"Derrick Rd",,,Atlanta,GA,"Fulton County",30349,US,"Fulton County"
Georgia,PGA1,FC,"6200 Fulton Industrial Blvd",Atlanta,GA,30336,33.710334,-84.586957,0.9,rooftop,6200,"Fulton Industrial Blvd SW",,,Atlanta,GA,"Fulton County",30336,US,"Fulton County"
Georgia,SAV3,FC,"7001 Skipper Rd",Macon,GA,31216,32.718359,-83.723124,1,range_interpolation,7001,"Skipper Rd",,,Macon,GA,"Bibb County",31216,US,"TIGER/Line® dataset from the US Census Bureau"
Georgia,CSG1,FC,"280 Bridgeport Blvd",Newnan,GA,30263,33.369595,-84.819397,0.33,place,,,,,Newnan,GA,"Coweta County",30263,US,"TIGER/Line® dataset from the US Census Bureau"
Idaho,BOI2,FC,"5295 East Franklin Rd",Nampa,ID,83687,43.604856,-116.49898,1,range_interpolation,5295,"E Franklin Rd",,,Nampa,ID,"Canyon County",83687,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,MDW2,FC,"401 E Laraway Road"," Joliet",IL,60433,41.483988,-88.070248,1,rooftop,401,"E Laraway Rd",,,Joliet,IL,"Will County",60433,US,Will
Illinois,MDW4,FC,"201 Emerald Drive"," Joliet",IL,60433,41.486207,-88.075339,1,rooftop,201,"Emerald Dr",,,Joliet,IL,"Will County",60433,US,Will
Illinois,STL4,FC,"3050 Gateway Commerce Center Drive South"," Edwardsville",IL,62025,38.76934,-90.067119,0.5,street_center,,"Gateway Commerce Center Dr W",,,Edwardsville,IL,"Madison County",62025,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,STL6,FC,"3931 Lakeview Corporate Drive"," Edwardsville",IL,62025,38.798342,-90.076605,0.5,street_center,,"Lakeview Corporate Dr",,,"South Roxana",IL,"Madison County",62087,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,MDW7,FC,"6605 W Monee Manhattan Road"," Monee",IL,60449,41.424958,-87.772327,1,rooftop,6605,"W Monee-Manhattan Rd",,,Monee,IL,"Will County",60449,US,Will
Illinois,MDW8,FC,"1750 Bridge Dr."," Waukegan",IL,60085-3004,42.328484,-87.902925,1,rooftop,1750,"Bridge Dr",,,Waukegan,IL,"Lake County",60085,US,Lake
Illinois,MDW9,FC,"2865 Duke Parkway"," Aurora",IL,60502-9551,41.815017,-88.212762,1,rooftop,2865,"Duke Pkwy",,,Aurora,IL,"DuPage County",60502,US,"City of Aurora"
Illinois,MDW6,FC,"1125 W Remington Blvd"," Romeoville",IL,60556,41.674218,-88.115665,0.9,rooftop,1125,"W Remington Blvd",,,Romeoville,IL,"Will County",60446,US,Will
Illinois,ORD2,FC,"23714 W. Amoco Rd",Channahon,IL,60410,41.43313,-88.199325,0.33,place,,,,,Channahon,IL,"Will County",60410,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,ORD4,FC,"25810 S. Ridgeland Ave",Monee,IL,60449,41.422109,-87.767959,1,rooftop,25810,"S Ridgeland Ave",,,Monee,IL,"Will County",60449,US,Will
Illinois,HMW1,FC,"30260 Graaskamp Blvd",Wilmington,IL,60481,41.337265,-88.206639,0.9,rooftop,30260,"S Graaskamp Blvd",,,Wilmington,IL,"Will County",60481,US,Will
Illinois,,FC,"7001 Vollmer Road",Matteson,IL,60423,41.527908,-87.785751,0.9,range_interpolation,7001,"Vollmer Rd",,,Matteson,IL,"Cook County",60443,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,,FC,"15924 Western Ave",Markham,IL,60428,41.599704,-87.675588,1,rooftop,15924,"Western Ave",,,Markham,IL,"Cook County",60428,US,Cook
Indiana,XUSE,FC,"5100 S Indianapolis Road"," Whitestown",IN,46075,39.965915,-86.381722,0.7,range_interpolation,5100,"Indianapolis Rd",,,Whitestown,IN,"Boone County",46075,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,XUSE,FC,"5460 Industrial Court #300",Whitestown,IN,46075,40.022608,-86.346179,0.33,place,,,,,Whitestown,IN,"Boone County",46075,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,IND1,FC,"4255 Anson Boulevard"," Whitestown",IN,46075,40.022608,-86.346179,0.33,place,,,,,Whitestown,IN,"Boone County",46075,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,IND2,FC,"715 Airtech Parkway"," Plainfield",IN,46168,39.698248,-86.348666,0.72,nearest_rooftop_match,716,"Airtech Pkwy",,,Plainfield,IN,"Hendricks County",46168,US,Statewide
Indiana,IND3,FC,"717 Airtech Parkway"," Plainfield",IN,46168,39.698248,-86.348666,0.72,nearest_rooftop_match,716,"Airtech Pkwy",,,Plainfield,IN,"Hendricks County",46168,US,Statewide
Indiana,IND4,FC,"710 South Girls School Road"," Indianapolis",IN,46214,39.755392,-86.29286,0.9,rooftop,710,"S Girls School Rd",,,Indianapolis,IN,"Marion County",46231,US,Statewide
Indiana,IND5,FC,"800 S Perry Road"," Plainfield",IN,46168,39.694918,-86.358369,1,rooftop,800,"S Perry Rd",,,Plainfield,IN,"Hendricks County",46168,US,Statewide
Indiana,IND6,FC,"1453 10th Street"," Jeffersonville",IN,47130,38.289297,-85.728727,1,range_interpolation,1453,"State Rd 62",,,Jeffersonville,IN,"Clark County",47130,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,IND7,FC,"9101 Orly Dr"," Indianapolis",IN,46241,39.674849,-86.325764,0.9,rooftop,9101,"Orly Rd",,,Indianapolis,IN,"Marion County",46231,US,Statewide
Indiana,SDF8,FC,"900 Patrol Road"," Jeffersonville",IN,47130,38.3789,-85.687152,1,rooftop,900,"Patrol Rd",,,Jeffersonville,IN,"Clark County",47130,US,Statewide
Indiana,"FBA Prep Service","FBA Indiana Prep",,Portland,IN,,40.431634,-84.983015,1,place,,,,,Portland,IN,"Jay County",47371,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,MQJ2,FC,"19 Bob Glidden Blvd",Whiteland,IN,46184,39.55005,-86.07971,0.33,place,,,,,Whiteland,IN,"Johnson County",46184,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,PIN1,FC,"5510 Exploration Dr",Indianapolis,IN,46241,39.685459,-86.310168,0.55,nearest_rooftop_match,5425,"Exploration Dr",,,Indianapolis,IN,"Marion County",46241,US,Statewide
Iowa,DSM5,FC,"500 SW 32nd St","Des Moines",IA,50035,41.580255,-93.553992,0.9,range_interpolation,500,"SW 32nd St",,,"Des Moines",IA,"Polk County",50317,US,"TIGER/Line® dataset from the US Census Bureau"
Kansas,MCI1,FC,"113th Street and Renner Boulevard"," Lenexa",KS,,38.927392,-94.779431,0.29,intersection,,"Renner Blvd",,,"Shawnee Mission",KS,"Johnson County",66219,US,"TIGER/Line® dataset from the US Census Bureau"
Kansas,MKC4,FC,"19535 Waverly Road"," Edgerton",KS,66021-9588,38.764665,-94.946033,0.6,street_center,,"Waverly Rd",,,Edgerton,KS,"Johnson County",66021,US,"TIGER/Line® dataset from the US Census Bureau"
Kansas,MCI5,SC,"16851 W 113th Street"," Lenexa",KS,66219,38.921255,-94.782513,1,rooftop,16851,"W 113th St",,,Lenexa,KS,"Johnson County",66219,US,"City of Lenexa"
Kansas,MKC6,FC,"6925 Riverview Ave."," Kansas City",KS,66102,39.098489,-94.739424,1,rooftop,6925,"Riverview Ave",,,"Kansas City",KS,"Wyandotte County",66102,US,Statewide
Kansas,TUL1,FC,"2654 N US Highway 169",Coffeyville,KS,67337,37.10274,-95.581896,1,rooftop,2654,"Hwy 169",,,Coffeyville,KS,"Montgomery County",67337,US,Statewide
Kentucky,SDF1,FC,"1105 S Columbia Avenue"," Campbellsville",KY,42718,37.327963,-85.351697,1,range_interpolation,1105,"S Columbia Ave",,,Campbellsville,KY,"Taylor County",42718,US,"TIGER/Line® dataset from the US Census Bureau"
Kentucky,SDF2,FC,"4360 Robards Lane"," Louisville",KY,40218,38.195148,-85.692734,1,rooftop,4360,"Robards Ln",,,Louisville,KY,"Jefferson County",40218,US,"Metro Louisville,  LOJIC partners"
Kentucky,CVG1,FC,"1155 Worldwide Blvd.",Hebron,KY,41048,39.084801,-84.724595,1,range_interpolation,1155,"Worldwide Blvd",,,Hebron,KY,"Boone County",41048,US,"TIGER/Line® dataset from the US Census Bureau"
Kentucky,CVG2,FC,"1600 Worldwide Blvd.",Hebron,KY,41048,39.086953,-84.728675,1,range_interpolation,1600,"Worldwide Blvd",,,Hebron,KY,"Boone County",41048,US,"TIGER/Line® dataset from the US Census Bureau"
Kentucky,CVG3,FC,"3680 Langley Drive"," Hebron",KY,41048,39.056466,-84.711427,0.9,range_interpolation,3680,"Langly Dr",,,Hebron,KY,"Boone County",41048,US,"TIGER/Line® dataset from the US Census Bureau"
Kentucky,CVG5/7,SC," 2285 Litton Lane"," Hebron",KY,41048,39.077018,-84.717271,1,range_interpolation,2285,"Litton Ln",,,Hebron,KY,"Boone County",41048,US,"TIGER/Line® dataset from the US Census Bureau"
Kentucky,LEX1,FC,"1850 Mercer Road"," Lexington",KY,40511,38.077236,-84.532864,1,rooftop,1850,"Mercer Rd",,,Lexington,KY,"Fayette County",40511,US,"Lexington Fayette"
Kentucky,LEX2,FC,"172 Trade Street"," Lexington",KY,40511,38.074574,-84.548615,1,rooftop,172,"Trade St",,,Lexington,KY,"Fayette County",40511,US,"Lexington Fayette"
Kentucky,LEX5,FC,"4600 Olympic Blvd",Erlanger,KY,40511,39.043288,-84.618211,0.72,nearest_rooftop_match,4598,"Olympic Blvd",,,Erlanger,KY,"Kenton County",41018,US,Kenton
Kentucky,SDF4,FC,"376 Zappos.com Boulevard"," Shepherdesville",KY,40165,37.959505,-85.704609,0.33,place,,,,,Shepherdsville,KY,"Bullitt County",40165,US,"TIGER/Line® dataset from the US Census Bureau"
Kentucky,SDF6,FC,"271 Omega Parkway"," Shepherdsville",KY,40165,37.959505,-85.704609,0.33,place,,,,,Shepherdsville,KY,"Bullitt County",40165,US,"TIGER/Line® dataset from the US Census Bureau"
Kentucky,SDF7,FC,"300 Omicron Court"," Shepherdsville",KY,40165,37.959505,-85.704609,0.33,place,,,,,Shepherdsville,KY,"Bullitt County",40165,US,"TIGER/Line® dataset from the US Census Bureau"
Kentucky,SDF9,FC,"100 W. Thomas P. Echols Lane"," Shepherdsville",KY,40165,37.959505,-85.704609,0.33,place,,,,,Shepherdsville,KY,"Bullitt County",40165,US,"TIGER/Line® dataset from the US Census Bureau"
Louisiana,,FC,"9441 Cortana Place","Baton Rouge",LA,70815,30.460892,-91.093225,1,range_interpolation,9441,"Cortana Pl",,,"Baton Rouge",LA,"East Baton Rouge Parish",70815,US,"TIGER/Line® dataset from the US Census Bureau"
Maryland,BWI1,FC,"2010 Broening Highway"," Baltimore",MD,21224,39.267846,-76.548828,1,rooftop,2010,"Broening Hwy",,,Baltimore,MD,"Baltimore city",21224,US,Statewide
Maryland,BWI2,FC,"5001 Holabird Avenue"," Baltimore",MD,21224,39.271614,-76.552116,1,range_interpolation,5001,"Holabird Ave",,,Baltimore,MD,"Baltimore city",21224,US,"TIGER/Line® dataset from the US Census Bureau"
